,index,prompt,class,environment,weather,amount
54,54,"Three cars on a stormy highway, their headlights flickering through the rain and fog.",car,highway,stormy,Three
55,55,"

A red car submerged in a flooded highway during a storm.
A silver car engulfed in a dust storm on the highway.
A blue car abandoned on the side of the highway during a hailstorm.
",car,highway,stormy,Multiple
56,56,"

A red car with steam rising from its hood, moving slowly on a snow-covered highway.",car,highway,snowy,Single
57,57,"

Two cars on a snowy highway, their tires leaving trails in the freshly fallen snow. The cars are painted in contrasting colors: one is a shiny silver, the other a deep, matte blue. The snowflakes sw",car,highway,snowy,Two
58,58,Three cars on a snowy highway.,car,highway,snowy,Three
59,59,"

A red car with frosted windows, sliding sideways on a snowy highway.
A blue sedan, skidding on an icy road, surrounded by falling snowflakes.
A yellow convertible, abandoned on the side of",car,highway,snowy,Multiple
60,60,"

A single car, shrouded in fog, moving along the deserted highway. The vehicle's headlights pierce through the dense mist, casting an eerie glow on the surrounding landscape. The car's body, a sle",car,highway,foggy,Single
61,61,"

Two cars, shrouded in fog, on a deserted highway.",car,highway,foggy,Two
62,62,Three cars in a foggy highway.,car,highway,foggy,Three
63,63,"

A red car shrouded in fog on a deserted highway, its headlights piercing the mist.
A silver car with fogged-up windows, parked on the side of the highway.
A blue car, barely visible",car,highway,foggy,Multiple
64,64,"

A red car with dust flying around it on a windy highway.
A sleek black car with its tires spinning on a deserted, windy road.
A yellow convertible with its top down, swaying in the wind",car,highway,windy,Single
65,65,"

Two cars on a windy highway, their colors contrasting against the gray sky. The first, a sleek red sports car, leans slightly to the left as the wind gusts against it. The second, a stur",car,highway,windy,Two
66,66,"Three cars on a windy highway. Red, blue, and yellow.",car,highway,windy,Three
67,67,"

A red car swerving on a windy highway, leaves a trail of dust behind. A blue sedan with its windows rolled up, battles against the gusts of wind. A yellow convertible, top down, struggles to maintain",car,highway,windy,Multiple
68,68,"

A red sports car speeding along the clear highway, its sleek body glinting in the sunlight. A blue family sedan, its windows reflecting the endless expanse of the road ahead. A yellow convertible, its top down",car,highway,clear,Single
69,69,"

Two cars, identical red models, cruising side by side on a clear highway.",car,highway,clear,Two
70,70,Three cars in a row on a clear highway.,car,highway,clear,Three
71,71,"

Clear highway, red sports car with black stripes, yellow sun setting behind.
Clear highway, blue sedan with chrome accents, orange leaves falling gently.
Clear highway, silver SUV with tinted windows, green trees l",car,highway,clear,Multiple
72,72,"

Car in the highway during drizzle, red and yellow umbrellas nearby. Wet asphalt reflecting dim streetlights. Windshield wipers swiping back and forth. Raindrops cascading from",car,highway,drizzle,Single
73,73,"

Two cars on a wet highway during drizzle. Colorful umbrellas open in rain as drivers carefully navigate through the slick roads.",car,highway,drizzle,Two
74,74,"Three cars in a highway during drizzle. Red, blue and yellow.",car,highway,drizzle,Three
75,75,"

A red car with fogged-up windows, navigating a winding highway in the midst of a gentle drizzle. A silver sedan, its wipers working diligently, following closely behind. A yellow convertible, its",car,highway,drizzle,Multiple
76,76,"

A red car with wipers flicking in the midst of heavy rain on a deserted highway.",car,highway,heavy_rain,Single
77,77,"

Two cars on a wet highway during heavy rain. Colorful umbrellas open beside them. Raindrops glisten on the cars' hoods and windows. Tires spin, leaving behind wet trails on the asphalt.",car,highway,heavy_rain,Two
78,78,"Three cars in a highway during heavy rain. Red, yellow, and blue cars splash through the puddles, their headlights cutting through the downpour.",car,highway,heavy_rain,Three
79,79,"

A red car splashes through puddles on a slick highway during heavy rain.
A yellow car wades through flooded streets, its headlights cutting through the downpour.
A blue car navigates the winding",car,highway,heavy_rain,Multiple
80,80,"

A red sports car parked on a sun-kissed downtown street.",car,downtown,sunny,Single
81,81,"

Two cars, red and blue, parked side by side on a sun-kissed downtown street.",car,downtown,sunny,Two
82,82,"Three cars in the vibrant downtown, bathed in sunshine.",car,downtown,sunny,Three
83,83,"

Sunny downtown. Red convertible parked on the curb, next to a blue sedan and a yellow hatchback. All cars have their engines off and their windows rolled up. The sun casts long shadows on the pavement",car,downtown,sunny,Multiple
84,84,"

A single red car parked on a cobblestone street, surrounded by tall, gray buildings. The sky above is overcast with thick, gray clouds, casting an eerie glow over the scene. The rain begins to fall gently, be",car,downtown,cloudy,Single
85,85,"

Two cars, identical in make and model, parked side by side in a downtown area under overcast skies. The gray clouds hung low, casting a muted light over the scene. The cars, a deep blue hue, were",car,downtown,cloudy,Two
86,86,"Three cars in a downtown, shrouded in cloudy weather.",car,downtown,cloudy,Three
87,87,"

Car in the downtown, cloudy weather. A red sedan parked on the curb, its windows reflecting the gray sky. A blue compact car with raindrops on its hood. A yellow taxi cab idling at the intersection,",car,downtown,cloudy,Multiple
88,88,"

A red car, glistening with raindrops, parked on a deserted downtown street.",car,downtown,rainy,Single
89,89,"

Two cars, red and blue, in the downtown during rainy weather.",car,downtown,rainy,Two
90,90,Three cars in a downtown intersection during a rainstorm.,car,downtown,rainy,Three
91,91,"

A red car submerged in a puddle on a deserted downtown street during a heavy rainstorm.
A yellow taxi cab splashing through a flooded intersection in the downtown area during a rainy day.
A blue",car,downtown,rainy,Multiple
92,92,"

A single red car, engulfed in the chaos of a stormy downtown. Rain pelted against the windshield, creating a blurred view of the city around it. The car's headlights flickered, struggling",car,downtown,stormy,Single
93,93,"

Two cars in downtown amidst stormy weather. One is red, the other is blue. Rain pelts down, illuminating the slick roads. Tires spin as they navigate through the storm. Windshield wipers sw",car,downtown,stormy,Two
94,94,"Three cars in downtown amidst stormy weather. The color of the first car is a deep blue, the second car is a rusty red, and the third car is a shiny silver.",car,downtown,stormy,Three
95,95,"

A red car submerged in a flooded downtown street during a storm.
A silver car abandoned on a deserted street corner in a stormy downtown.
A black car with shattered windows, parked on a rain-so",car,downtown,stormy,Multiple
96,96,"

A red car, glistening with fresh snow, parked on a quiet downtown street.",car,downtown,snowy,Single
97,97,"

Two cars, red and blue, parked downtown amidst falling snow.",car,downtown,snowy,Two
98,98,"Three cars in the downtown, shrouded in snowfall.",car,downtown,snowy,Three
99,99,"

A red car, abandoned on a deserted downtown street under a heavy snowfall. The car's windows are frosted over, and the snow piles up against its tires. The surrounding buildings are shrouded in white, their",car,downtown,snowy,Multiple
100,100,"

A single car, shrouded in fog, parked downtown.",car,downtown,foggy,Single
101,101,"

Two cars in the downtown, shrouded in fog. One is red, the other is blue.",car,downtown,foggy,Two
102,102,Three cars in the downtown shrouded in fog.,car,downtown,foggy,Three
103,103,"

A red car, shrouded in fog, parked on a deserted downtown street. A silver car, its reflection distorted by the thick fog, idling at a traffic light. A blue car, its headlights cutting through the",car,downtown,foggy,Multiple
104,104,"

A red car with dust flying around it, parked on a deserted downtown street under a windy sky.",car,downtown,windy,Single
105,105,"

Two cars, red and blue, parked downtown amidst the windy weather.",car,downtown,windy,Two
106,106,"Three cars in downtown amidst windy weather. A red sedan, a blue hatchback, and a yellow convertible.",car,downtown,windy,Three
107,107,"

A red convertible parked on a bustling downtown street under a windy, overcast sky. A sleek black sedan with tinted windows idling at a traffic light. A vintage yellow bus with a ""School"" sign parked",car,downtown,windy,Multiple
108,108,"

Clear day in downtown. Single red car parked on the side of the street.",car,downtown,clear,Single
109,109,"

Two cars, red and blue, parked side by side in the bustling downtown area under clear skies.",car,downtown,clear,Two
110,110,"Three cars aligned in downtown, under clear sky.",car,downtown,clear,Three
111,111,"

Clear day, downtown. Red car parked on the curb, next to a blue bus. Yellow taxi idling at the intersection. Black limousine glinting in the sun. Green convertible with its top down, parked under",car,downtown,clear,Multiple
112,112,"

Car in the downtown during drizzle, shiny red.",car,downtown,drizzle,Single
113,113,"

Two cars, red and blue, parked downtown during a drizzle.",car,downtown,drizzle,Two
114,114,"Three cars in a downtown intersection during a drizzle. The colors of the cars are red, blue, and silver.",car,downtown,drizzle,Three
115,115,"

A red car parked on a curb in a downtown street during a drizzle.
A blue sedan with raindrops on its windshield in a bustling downtown area.
A yellow convertible abandoned on a deserted",car,downtown,drizzle,Multiple
116,116,"

A red car, glistening with raindrops, parked on a deserted downtown street under the heavy rain.",car,downtown,heavy_rain,Single
117,117,"

Two cars, red and blue, in the downtown during heavy rain.",car,downtown,heavy_rain,Two
118,118,Three cars in the downtown during heavy rain.,car,downtown,heavy_rain,Three
119,119,"

A red car submerged in the flooded downtown streets during heavy rain.
A shiny black car abandoned on a deserted downtown street in the pouring rain.
A yellow taxi cab splashing through the puddles on a",car,downtown,heavy_rain,Multiple
120,120,"

A single red car parked on the side of a bustling urban street under the bright, sunny sky.",car,urban_area,sunny,Single
121,121,"Two cars, red and blue, parked on the side of the street in an urban area under a sunny sky.",car,urban_area,sunny,Two
122,122,"Three cars in an urban area, sunny. Red, blue, and silver.",car,urban_area,sunny,Three
123,123,"

Sunny day in the urban area. Red car parked on the curb next to a blue bus. Yellow taxi hails a passenger at an intersection. Black sedan drives through a green traffic light. White minivan turns right at a corner",car,urban_area,sunny,Multiple
124,124,"

A single car in an urban area, painted in a deep blue hue, navigates the rain-slicked streets under a cloudy sky. The windshield wipers swipe back and forth, clearing a path for the",car,urban_area,cloudy,Single
125,125,"

Two cars, gray and red, parked under a cloudy urban sky.",car,urban_area,cloudy,Two
126,126,Three cars in an urban area with a cloudy sky.,car,urban_area,cloudy,Three
127,127,"

Cloudy urban area with a red car parked on the curb.
Cloudy urban area with a blue sedan idling at a traffic light.
Cloudy urban area with a yellow bus stopped at a bus stop.
Cloudy",car,urban_area,cloudy,Multiple
128,128,"

A red car with wipers flicking in the rainy urban area.
A sleek black car glistening in the rain-soaked urban streets.
A yellow taxi cab splashing through puddles in the rainy",car,urban_area,rainy,Single
129,129,"

Two cars, red and blue, in an urban area during rainy weather.",car,urban_area,rainy,Two
130,130,"Three cars in an urban area during rainy weather. Red, yellow, and blue cars splash through puddles on a slick, wet street.",car,urban_area,rainy,Three
131,131,"

A red car with rain-splattered windows parked under a neon-lit awning in a bustling urban area during a heavy rainstorm.

A sleek black car hidden from the rain under a tree-lined tunnel",car,urban_area,rainy,Multiple
132,132,"

A single car, glistening with raindrops, parked under an awning in an urban area during a storm. The car's metallic surface reflects the dim, flickering streetlights, creating a mesmerizing display",car,urban_area,stormy,Single
133,133,"

Two cars in an urban area during a storm, their colors blending with the gray sky and rain-soaked streets. One is a red sedan, the other a silver hatchback, both with windshield wipers frant",car,urban_area,stormy,Two
134,134,"Three cars in an urban area during a storm. The color of the first car is metallic silver, the second car is bright red, and the third car is matte black.",car,urban_area,stormy,Three
135,135,"

A red car submerged in a flooded urban street during a storm.
A silver compact car abandoned on a deserted urban road in a storm.
A yellow taxi cab overturned on a wet urban street during a storm",car,urban_area,stormy,Multiple
136,136,"

A red car with snow-covered tires parked on a quiet urban street under a heavy snowfall.",car,urban_area,snowy,Single
137,137,"

Two cars, red and blue, in an urban area with snowy weather.",car,urban_area,snowy,Two
138,138,"Three cars in an urban area, coated in a thick layer of snow.",car,urban_area,snowy,Three
139,139,"

A red car buried in a heap of fresh snow in an urban area.
A blue sedan slipping on an icy road in the city during a snowstorm.
A black SUV parked on the side of the road, its",car,urban_area,snowy,Multiple
140,140,"

A single car, shrouded in fog, parked on a deserted urban street. Its metallic surface reflects the dim streetlights, creating an ethereal glow. The fog clings to the car's contours, soft",car,urban_area,foggy,Single
141,141,"

Two cars, shrouded in fog, in an urban area.",car,urban_area,foggy,Two
142,142,Three cars in an urban area shrouded in fog.,car,urban_area,foggy,Three
143,143,"

A red car hidden in the dense fog of an urban area.
A silver car with foggy windows parked on a deserted street.
A yellow taxi disappearing into the thick fog of the city.
A blue car with its",car,urban_area,foggy,Multiple
144,144,"

A red car with dusty tires parked on a cobblestone street in an urban area. The weather is windy, causing the leaves on nearby trees to rustle. The car's body is sleek and modern, but its",car,urban_area,windy,Single
145,145,"

Two cars in an urban area with windy weather. One is red, the other is blue.",car,urban_area,windy,Two
146,146,"Three cars in an urban area during a windy day. Red, blue, and silver cars swaying in the wind.",car,urban_area,windy,Three
147,147,"

A red car with dusty tires parked on a windy urban corner, leaves swirling around it.
A blue sedan with a dented fender abandoned in a deserted urban alley during a windy day.
A yellow convert",car,urban_area,windy,Multiple
148,148,"

Clear day in an urban area. Single red car parked on the side of the road.",car,urban_area,clear,Single
149,149,"

Two cars, identical in make and model, parked side by side on a bustling urban street under clear skies. Their vibrant red exteriors gleamed in the sunlight, reflecting off the smooth asphalt. The first",car,urban_area,clear,Two
150,150,"Three cars in an urban area with clear weather. Red, blue, and silver cars parked along the sidewalk.",car,urban_area,clear,Three
151,151,"

Clear day in the urban area. A red car parked on the side of the road. A blue car driving through the intersection. A yellow car idling at a stop sign.",car,urban_area,clear,Multiple
152,152,"

A red car with fogged-up windows glides through an urban area under a drizzly sky. The car's tires splash rainwater as it moves along the wet streets. A yellow taxi with rain-streaked",car,urban_area,drizzle,Single
153,153,"

Two cars, shiny and red, parked under a tree in an urban area during a drizzle.",car,urban_area,drizzle,Two
154,154,"Three cars in an urban area during drizzle. Red, blue, and silver.",car,urban_area,drizzle,Three
155,155,"

A red car parked under a neon streetlight in a bustling urban area during a drizzle.
A blue compact car hidden among the tall buildings in the rain-soaked urban landscape.
A yellow taxi cab splashing",car,urban_area,drizzle,Multiple
156,156,"

A red car with fog lights, parked under a covered area in an urban neighborhood during heavy rain. A sleek black sedan, its windows reflecting the torrential rain, abandoned on the side of the road. A yellow taxi,",car,urban_area,heavy_rain,Single
157,157,"

Two cars, red and blue, in an urban area during heavy rain.",car,urban_area,heavy_rain,Two
158,158,"Three cars in an urban area during heavy rain. Red, yellow, and blue cars splash through puddles, their headlights cutting through the downpour.",car,urban_area,heavy_rain,Three
159,159,"

A red car submerged in a flooded urban area during heavy rain.
A yellow taxi cab splashing through puddles in the rain-soaked city.
A blue sedan abandoned on the side of the road, windows",car,urban_area,heavy_rain,Multiple
160,160,"

A red car parked on a tree-lined residential street under a clear, sunny sky.",car,residential_area,sunny,Single
161,161,"Two cars, red and blue, parked on the curb in a residential area under a sunny sky.",car,residential_area,sunny,Two
162,162,Three cars in a sunlit residential area.,car,residential_area,sunny,Three
163,163,"

Sunny residential area. Red car parked next to a green tree. Blue car with yellow stripes in the driveway. Car with black and white checkered pattern in the garage.",car,residential_area,sunny,Multiple
164,164,"

A red car parked on a quiet residential street under overcast skies. A sleek black sedan hidden among the trees in a cloudy neighborhood. A yellow convertible with its top up, waiting in the rain-soaked driveway",car,residential_area,cloudy,Single
165,165,"

Two cars, identical in make and model, parked side by side in a residential area under cloudy weather.",car,residential_area,cloudy,Two
166,166,Three cars in a residential area with a cloudy weather.,car,residential_area,cloudy,Three
167,167,"

Cloudy residential area. A red car parked next to a green one, both with faded paint from the weather. A yellow car with dents and rust spots further down the street.",car,residential_area,cloudy,Multiple
168,168,"

A red car with fog lights, parked under a tree in a residential area during a rainy day.",car,residential_area,rainy,Single
169,169,"

Two cars in a residential area during rainy weather. One is red and the other is blue.",car,residential_area,rainy,Two
170,170,Three cars in a residential area during rainy weather.,car,residential_area,rainy,Three
171,171,"

A red car hidden under a green canopy in a residential area during a rainy day.
A yellow car with raindrops on its windshield in a quiet residential area.
A blue car parked under a tree, leaves",car,residential_area,rainy,Multiple
172,172,"

A red car submerged in a puddle amidst the chaos of a stormy residential area.
A sleek black car hidden under a pile of fallen leaves during a storm in a quiet residential area.
A yellow convert",car,residential_area,stormy,Single
173,173,"Two cars in a residential area during a storm, gray and red.",car,residential_area,stormy,Two
174,174,"Three cars in a residential area during a stormy weather. The color of the first car is navy blue, the second car is red, and the third car is silver.",car,residential_area,stormy,Three
175,175,"

A red car submerged in a flooded residential area during a storm.
A silver car abandoned on a deserted street in a stormy residential area.
A yellow car overturned in a puddle-filled residential",car,residential_area,stormy,Multiple
176,176,"

A red car with steaming exhaust in a snowy residential area.
A silver sedan buried under a mound of fresh snow in a quiet residential area.
A blue hatchback parked on the side of the road in a snow",car,residential_area,snowy,Single
177,177,"

Two cars, identical in make and model, parked on a quiet residential street under a heavy snowfall.",car,residential_area,snowy,Two
178,178,"Three cars in a residential area, covered in snow.",car,residential_area,snowy,Three
179,179,"

A red car buried in a thick layer of snow in a quiet residential area.
A blue sedan parked on the side of the road, covered in a blanket of fresh snow.
A yellow convertible with a dusting of snow on",car,residential_area,snowy,Multiple
180,180,"

A single car, shrouded in fog, parked on a quiet residential street.",car,residential_area,foggy,Single
181,181,"

Two cars, identical in make and model, parked in a residential area shrouded in fog.",car,residential_area,foggy,Two
182,182,Three cars in a residential area shrouded in fog.,car,residential_area,foggy,Three
183,183,"

A red car hidden in the dense fog of a residential area.
A silver car with foggy windows parked on a quiet street.
A blue car shrouded in mist in a residential neighborhood.
A yellow car lost in the",car,residential_area,foggy,Multiple
184,184,Windy residential area. Single car. Red and white stripes.,car,residential_area,windy,Single
185,185,"

Two cars in a tranquil residential area under windy conditions. The leaves on the trees rustle as the wind picks up, creating a gentle symphony of sound. The cars, one red and one blue, are parked neatly",car,residential_area,windy,Two
186,186,"Three cars in a quiet residential area, weathered by wind.",car,residential_area,windy,Three
187,187,"

A red car parked on a tree-lined street during a windy day.
A blue sedan with flat tires abandoned in a quiet residential area.
A yellow convertible swaying in the wind amidst rows of houses.
A",car,residential_area,windy,Multiple
188,188,"

Clear day in a residential area. Single red car parked on the curb.",car,residential_area,clear,Single
189,189,"Two cars in a quiet residential area, painted in shades of blue and green, with clear skies overhead.",car,residential_area,clear,Two
190,190,"Three cars in a quiet residential area, painted in shades of blue and green, with clear skies overhead.",car,residential_area,clear,Three
191,191,"

Clear day in a residential area. A red car parked on the curb, a blue car in the driveway, and a green car in the garage.",car,residential_area,clear,Multiple
192,192,"

A red car parked on a curbside in a residential area during a drizzle. The car's hood was adorned with droplets, reflecting the dim streetlights. A yellow umbrella stood next to",car,residential_area,drizzle,Single
193,193,"

Two cars, identical in make and model, parked side by side in a quiet residential area. The sky wept softly, a gentle drizzle painting the world in a shimmering sheen. The cars' colors blended with",car,residential_area,drizzle,Two
194,194,"Three cars in a quiet residential area during a drizzle. The color of the first car is navy blue, the second car is red, and the third car is silver.",car,residential_area,drizzle,Three
195,195,"

A red car parked on the curb in a residential area during a drizzle.
A blue sedan with raindrops on its windshield in a quiet neighborhood.
A yellow convertible under a tree, sheltering from",car,residential_area,drizzle,Multiple
196,196,"

A red car with fog lights, parked under a covered porch in a residential area, during heavy rain.",car,residential_area,heavy_rain,Single
197,197,Two cars in a quiet residential area during heavy rain. The colors of the cars blend with the wet asphalt.,car,residential_area,heavy_rain,Two
198,198,"Three cars in a quiet residential area during heavy rain. The colors of the cars are a red sedan, a blue hatchback, and a silver SUV.",car,residential_area,heavy_rain,Three
199,199,"

A red car submerged in a flooded residential area during heavy rain.
A blue sedan abandoned on the side of the road in a residential area during heavy rain.
A yellow convertible overturned in a puddle",car,residential_area,heavy_rain,Multiple
200,200,"

A red car in the industrial area under the bright sun.
A sleek black car parked in the industrial area with sun shining overhead.
An old yellow car in the industrial area under the sunny sky.
A shiny blue car",car,industrial_area,sunny,Single
201,201,"Two cars in the industrial area, sunny weather.",car,industrial_area,sunny,Two
202,202,Three rusted cars in an industrial area under a sunny sky.,car,industrial_area,sunny,Three
203,203,"

A red car parked next to a factory building in the industrial area under a sunny sky.
A blue car with chipped paint sitting abandoned in the industrial area under a sunny day.
A yellow car with smokestacks",car,industrial_area,sunny,Multiple
204,204,"

A single car in the industrial area, shrouded by overcast clouds. The car's metallic surface reflects the muted, gray light, giving it an eerie glow. Raindrops spatter against the windshield",car,industrial_area,cloudy,Single
205,205,"

Two cars, identical in make and model, parked side by side in an industrial area under overcast skies. The cars were a deep metallic blue, reflecting the dim light from the surrounding factories. Raindrops pelt",car,industrial_area,cloudy,Two
206,206,"Three rusted cars in an industrial area, shrouded in cloudy weather.",car,industrial_area,cloudy,Three
207,207,"

Cloudy industrial area with a rusted car on the concrete ground, its engine blocked by a pile of crates. A rain-soaked billboard looms overhead, its colors muted by the gloom. A forklift",car,industrial_area,cloudy,Multiple
208,208,"

A single car, glistening with rainwater, parked in the dimly lit industrial area.",car,industrial_area,rainy,Single
209,209,"

Two cars in an industrial area during rainy weather.

Car models can vary in color and make. The industrial area can have gray, concrete buildings and puddles of rainwater on the ground. The rain can be coming down",car,industrial_area,rainy,Two
210,210,Three rusted cars in an industrial area under a rainy sky.,car,industrial_area,rainy,Three
211,211,"

A red car hidden among the gray industrial buildings during a rainstorm.
A yellow car with raindrops on its windshield in an industrial area.
A blue car parked under a rusted metal bridge in the rainy industrial",car,industrial_area,rainy,Multiple
212,212,"

A single car, rusted and weathered, abandoned in the industrial area amidst the chaos of a storm. Its metallic body glistened with raindrops, contrasting against the dark, ominous sky. The wind",car,industrial_area,stormy,Single
