prompt,class,environment,style,amount
"

A kitchen scene with five chaired areas, each with a stack of dishes and a scattered tablecloth.",chair,kitchen,messy,Multiple
A single chair in a clean-lined kitchen.,chair,kitchen,clean,Single
Two chairs in a kitchen with a clean design.,chair,kitchen,clean,Two
Three chairs in a kitchen with a clean design.,chair,kitchen,clean,Three
"

A set of two kitchen chairs with a minimalist design.",chair,kitchen,clean,Multiple
"A single chair in the kitchen with a rustic, farmhouse style.",chair,kitchen,cozy,Single
Two chairs in a kitchen with a cozy style.,chair,kitchen,cozy,Two
Three chairs in a kitchen with a cozy style.,chair,kitchen,cozy,Three
"

A pair of chairs with a rustic, farmhouse feel in a sunlit kitchen corner.",chair,kitchen,cozy,Multiple
A modern bathroom with a single chair.,chair,bathroom,modern,Single
Two modern style chairs in a bathroom.,chair,bathroom,modern,Two
Three modern chairs in a bathroom setting.,chair,bathroom,modern,Three
A modern bathroom with two chairs.,chair,bathroom,modern,Multiple
"

Minimalist bathroom with a single chair.",chair,bathroom,minimalist,Single
Two minimalist style chairs in a bathroom.,chair,bathroom,minimalist,Two
Three minimalist chairs in a bathroom setting.,chair,bathroom,minimalist,Three
"

Minimalist bathroom with two identical chairs.",chair,bathroom,minimalist,Multiple
"

A rustic-style bathroom chair.",chair,bathroom,rustic,Single
Two rustic chairs in a bathroom.,chair,bathroom,rustic,Two
Three rustic chairs in the bathroom.,chair,bathroom,rustic,Three
"

A bathroom with a rustic theme, featuring three chairs.",chair,bathroom,rustic,Multiple
"

A single industrial-style chair in a bathroom.",chair,bathroom,industrial,Single
Two industrial-style chairs in a bathroom.,chair,bathroom,industrial,Two
Three industrial-style chairs in a bathroom.,chair,bathroom,industrial,Three
"

Bathroom with industrial style: Two metal chairs with exposed bolts and rough textured seats.",chair,bathroom,industrial,Multiple
"A single, elegant chair with a plush velvet seat and gold accents, situated in a spacious, marble-tiled bathroom.",chair,bathroom,luxury,Single
Two luxury chairs in a bathroom.,chair,bathroom,luxury,Two
Three luxury chairs in a bathroom with gold accents.,chair,bathroom,luxury,Three
"

A bathroom adorned with marble tiles, featuring two golden chairs with plush velvet seats and intricate carvings. A third chair, a matching replica, stands nearby.",chair,bathroom,luxury,Multiple
"

A vintage-style chair in a bathroom setting.",chair,bathroom,vintage,Single
Two vintage chairs in a bathroom.,chair,bathroom,vintage,Two
Three vintage chairs in a bathroom setting.,chair,bathroom,vintage,Three
"

A vintage bathroom with two coordinating chairs.",chair,bathroom,vintage,Multiple
"

A single chair in a bathroom with a Scandinavian design.",chair,bathroom,scandinavian,Single
"

Two Scandinavian-style chairs in a bathroom.",chair,bathroom,scandinavian,Two
Three chairs in a bathroom with a Scandinavian style.,chair,bathroom,scandinavian,Three
"

A Scandinavian-style bathroom with two chairs by the window.",chair,bathroom,scandinavian,Multiple
"

A single chair in a bathroom with a messy, cluttered style.",chair,bathroom,messy,Single
Two chairs in a bathroom with a messy style.,chair,bathroom,messy,Two
Three chairs in a cluttered bathroom with a messy style.,chair,bathroom,messy,Three
"

A bathroom cluttered with towels and toiletries, featuring five mismatched chairs.",chair,bathroom,messy,Multiple
"A single chair in a clean, minimalist bathroom.",chair,bathroom,clean,Single
Two chairs in a bathroom with a clean design.,chair,bathroom,clean,Two
Three of the same chair in a bathroom with a clean design.,chair,bathroom,clean,Three
"

A bathroom with two identical chairs, each featuring a sleek and minimalist design.",chair,bathroom,clean,Multiple
A single chair in a bathroom with a plush cushion and a heated seat.,chair,bathroom,cozy,Single
Two chairs in a bathroom with a cozy style.,chair,bathroom,cozy,Two
Three chairs in a bathroom with a cozy style.,chair,bathroom,cozy,Three
"

A pair of plush armchairs and a small round stool in a bathroom with a spa-like theme.",chair,bathroom,cozy,Multiple
A single modern style chair in the dining room.,chair,dining room,modern,Single
Two chairs in a dining room with a modern style.,chair,dining room,modern,Two
Three modern chairs in the dining room.,chair,dining room,modern,Three
"

A set of two chairs and a table in a contemporary dining room. The chairs have sleek designs and are upholstered in a stylish fabric.",chair,dining room,modern,Multiple
A single minimalist-style chair in the dining room.,chair,dining room,minimalist,Single
Two minimalist chairs in the dining room.,chair,dining room,minimalist,Two
Three minimalist chairs in the dining room.,chair,dining room,minimalist,Three
Minimalist dining room with two chairs.,chair,dining room,minimalist,Multiple
A single chair in the dining room with a rustic style.,chair,dining room,rustic,Single
Two rustic chairs in the dining room.,chair,dining room,rustic,Two
Three rustic chairs in the dining room.,chair,dining room,rustic,Three
"

A set of three rustic dining room chairs.",chair,dining room,rustic,Multiple
"

A single industrial-style chair in a dining room.",chair,dining room,industrial,Single
Two industrial style chairs in the dining room.,chair,dining room,industrial,Two
Three chairs in a dining room with an industrial style.,chair,dining room,industrial,Three
"

Multiple industrial-style chairs in a dining room.",chair,dining room,industrial,Multiple
A single chair in the dining room with a plush velvet upholstery and ornate gold accents.,chair,dining room,luxury,Single
Two luxury chairs in the dining room.,chair,dining room,luxury,Two
Three elegant chairs in a grand dining room.,chair,dining room,luxury,Three
"

A set of four high-backed, velvet-upholstered chairs with gold accents around a large, rectangular dining table in a grand dining room.",chair,dining room,luxury,Multiple
A single vintage chair in the dining room.,chair,dining room,vintage,Single
Two vintage chairs in the dining room.,chair,dining room,vintage,Two
Three vintage chairs in the dining room.,chair,dining room,vintage,Three
"

A vintage dining room with two matching chairs.",chair,dining room,vintage,Multiple
A single chair in a dining room with a scandinavian design.,chair,dining room,scandinavian,Single
Two chairs in a dining room with a Scandinavian style.,chair,dining room,scandinavian,Two
Three chairs in a dining room with a Scandinavian style.,chair,dining room,scandinavian,Three
"

A dining room with six Scandinavian-style chairs arranged around a wooden table.",chair,dining room,scandinavian,Multiple
"

A single chair in the dining room with a messy, eclectic style.",chair,dining room,messy,Single
Two chairs in a dining room with a messy style.,chair,dining room,messy,Two
Three chairs in the dining room with a messy style.,chair,dining room,messy,Three
"

A dining room with five chairs, each with a haphazardly placed throw pillow, creating a messy yet inviting atmosphere.",chair,dining room,messy,Multiple
A single chair in a clean dining room.,chair,dining room,clean,Single
Two chairs in a clean dining room.,chair,dining room,clean,Two
Three chairs in a dining room with a clean design.,chair,dining room,clean,Three
"

A set of five identical chairs in a minimalist dining room.",chair,dining room,clean,Multiple
"A single chair in the dining room with a plush, velvet cushion and a wooden frame.",chair,dining room,cozy,Single
Two chairs in a dining room with a cozy style.,chair,dining room,cozy,Two
Three chairs in a dining room with a cozy style.,chair,dining room,cozy,Three
"

Five plush armchairs arranged around a circular dining table, creating a warm and inviting seating area.",chair,dining room,cozy,Multiple
Modern style single chair in the garage.,chair,garage,modern,Single
Two modern style chairs in the garage.,chair,garage,modern,Two
Three modern chairs in the garage.,chair,garage,modern,Three
Modern style garage with multiple chairs.,chair,garage,modern,Multiple
Minimalist style garage: Single chair.,chair,garage,minimalist,Single
Two minimalist chairs in the garage.,chair,garage,minimalist,Two
Three chairs in a garage with a minimalist design.,chair,garage,minimalist,Three
Minimalist garage with three identical chairs.,chair,garage,minimalist,Multiple
A single chair in the garage with a rustic style.,chair,garage,rustic,Single
Two rustic chairs in the garage.,chair,garage,rustic,Two
Three rustic chairs in the garage.,chair,garage,rustic,Three
"

A rustic garage with three chairs.",chair,garage,rustic,Multiple
"

A single industrial-style chair in a garage setting.",chair,garage,industrial,Single
Two industrial style chairs in the garage.,chair,garage,industrial,Two
Three industrial style chairs in the garage.,chair,garage,industrial,Three
"

Garage with multiple industrial-style chairs.",chair,garage,industrial,Multiple
"

A single chair in the garage, upholstered in soft leather, with intricate stitching and a high-gloss finish.",chair,garage,luxury,Single
Two luxury chairs in the garage.,chair,garage,luxury,Two
Three luxury chairs in a garage.,chair,garage,luxury,Three
"

A garage filled with a collection of high-end leather chairs, each one exuding opulence and sophistication.",chair,garage,luxury,Multiple
"

A vintage-style chair in the garage.",chair,garage,vintage,Single
Two vintage chairs in the garage.,chair,garage,vintage,Two
Three vintage chairs in the garage.,chair,garage,vintage,Three
"

A vintage garage filled with rustic charm, showcasing a collection of five mismatched chairs.",chair,garage,vintage,Multiple
"

A single chair in the garage with a Scandinavian design.",chair,garage,scandinavian,Single
Two chairs in a garage with a Scandinavian style.,chair,garage,scandinavian,Two
Three chairs in a garage with a Scandinavian style.,chair,garage,scandinavian,Three
"

A Scandinavian-style garage with three chairs arranged in a corner.",chair,garage,scandinavian,Multiple
"

A single chair in the garage with a messy style.",chair,garage,messy,Single
Two chairs in a garage with a messy style.,chair,garage,messy,Two
Three chairs in a cluttered garage.,chair,garage,messy,Three
"

A chair in the garage with a cluttered surroundings.",chair,garage,messy,Multiple
A single clean-lined chair in the garage.,chair,garage,clean,Single
Two chairs in a clean garage.,chair,garage,clean,Two
Three chairs in a tidy garage.,chair,garage,clean,Three
"

A clean garage with three identical chairs arranged in a row.",chair,garage,clean,Multiple
"A single chair in the garage with a rustic, shabby chic style.",chair,garage,cozy,Single
Two chairs in the garage with a cozy style.,chair,garage,cozy,Two
Three chairs in a garage with a cozy style.,chair,garage,cozy,Three
"

A garage filled with plush armchairs, each adorned with soft blankets and colorful pillows.",chair,garage,cozy,Multiple
A modern single chair for a home office.,chair,home office,modern,Single
Two chairs in a home office with a modern style.,chair,home office,modern,Two
Three modern chairs in a home office setting.,chair,home office,modern,Three
"

A modern home office with two chairs.",chair,home office,modern,Multiple
"

Minimalist home office with a single chair.",chair,home office,minimalist,Single
Two minimalist style chairs in a home office.,chair,home office,minimalist,Two
Three chairs in a home office with a minimalist design.,chair,home office,minimalist,Three
Minimalist home office with two chairs.,chair,home office,minimalist,Multiple
"

A rustic-style home office with a single chair.",chair,home office,rustic,Single
Two rustic style chairs in a home office.,chair,home office,rustic,Two
Three chairs in a home office with a rustic style.,chair,home office,rustic,Three
"

A rustic home office with two chairs and a third one in the corner.",chair,home office,rustic,Multiple
"

A single industrial-style chair for a home office.",chair,home office,industrial,Single
Two industrial style chairs in a home office.,chair,home office,industrial,Two
Three chairs in a home office with an industrial style.,chair,home office,industrial,Three
"

A home office with three industrial-style chairs.",chair,home office,industrial,Multiple
"A single, plush leather chair with a rich mahogany frame, situated in a home office with floor-to-ceiling windows, overlooking a lush garden.",chair,home office,luxury,Single
Two high-backed leather chairs in a home office with rich wood accents.,chair,home office,luxury,Two
Three elegant chairs in a home office with a plush velvet upholstery and gold accents.,chair,home office,luxury,Three
"

A pair of plush velvet chairs with gold accents in a spacious, high-end home office.",chair,home office,luxury,Multiple
"

A vintage-style armchair in a home office.",chair,home office,vintage,Single
Two vintage chairs in a home office.,chair,home office,vintage,Two
Three vintage chairs in a home office setting.,chair,home office,vintage,Three
"

A vintage-style home office with two chairs.",chair,home office,vintage,Multiple
"

A single chair in a home office with a Scandinavian design.",chair,home office,scandinavian,Single
Two chairs in a home office with a scandinavian style.,chair,home office,scandinavian,Two
Three chairs in a home office with a Scandinavian style.,chair,home office,scandinavian,Three
"

A Scandinavian-style home office with two chairs and a table.",chair,home office,scandinavian,Multiple
"

A single chair in a home office with a messy style, cluttered surroundings.",chair,home office,messy,Single
Two chairs in a home office with a messy style.,chair,home office,messy,Two
Three chairs in a home office with a messy style.,chair,home office,messy,Three
"

A cluttered home office with five mismatched chairs.",chair,home office,messy,Multiple
A single clean-lined chair in a home office.,chair,home office,clean,Single
Two chairs in a home office with a clean design.,chair,home office,clean,Two
Three chairs in a home office with a clean design.,chair,home office,clean,Three
"

A home office with two clean-lined chairs.",chair,home office,clean,Multiple
"A single chair in a home office with a plush, velvet seat and a wooden frame.",chair,home office,cozy,Single
Two chairs in a home office with a cozy style.,chair,home office,cozy,Two
Three chairs in a home office with a cozy style.,chair,home office,cozy,Three
"

Five plush armchairs arranged in a circle around a low table in a home office with a warm and inviting atmosphere.",chair,home office,cozy,Multiple
A modern style chair on a balcony.,chair,balcony,modern,Single
Two modern chairs on a balcony.,chair,balcony,modern,Two
Three modern chairs on a balcony.,chair,balcony,modern,Three
"

A modern balcony with two multi-tiered chairs.",chair,balcony,modern,Multiple
"

Minimalist style balcony with a single chair.",chair,balcony,minimalist,Single
Two minimalist chairs on a balcony.,chair,balcony,minimalist,Two
Three minimalist chairs on a balcony.,chair,balcony,minimalist,Three
Minimalist balcony with two chairs.,chair,balcony,minimalist,Multiple
"

A rustic-style chair for a balcony.",chair,balcony,rustic,Single
Two rustic chairs on a balcony.,chair,balcony,rustic,Two
Three rustic chairs on a balcony.,chair,balcony,rustic,Three
"

A set of three rustic chairs on a balcony.",chair,balcony,rustic,Multiple
"

A single industrial-style chair on a balcony.",chair,balcony,industrial,Single
Two industrial style chairs on a balcony.,chair,balcony,industrial,Two
Three industrial-style chairs on a balcony.,chair,balcony,industrial,Three
"

Multiple industrial-style chairs on a balcony.",chair,balcony,industrial,Multiple
"A single chair with a plush velvet cushion, adorned with gold accents and a glass table attached, on a balcony overlooking the ocean.",chair,balcony,luxury,Single
Two luxury chairs on a balcony.,chair,balcony,luxury,Two
Three luxury chairs on a balcony.,chair,balcony,luxury,Three
"

A balcony adorned with three plush, velvet chairs in a luxurious gold color.",chair,balcony,luxury,Multiple
"

A vintage-style chair on a balcony.",chair,balcony,vintage,Single
Two vintage chairs on a balcony.,chair,balcony,vintage,Two
Three vintage chairs on a balcony.,chair,balcony,vintage,Three
"

A vintage balcony adorned with three charming chairs.",chair,balcony,vintage,Multiple
"

A single chair on a balcony with a Scandinavian design.",chair,balcony,scandinavian,Single
Two chairs on a balcony with a Scandinavian style.,chair,balcony,scandinavian,Two
Three chairs on a balcony with a Scandinavian design.,chair,balcony,scandinavian,Three
"

A balcony adorned with two Scandinavian-style chairs.",chair,balcony,scandinavian,Multiple
"

A single chair on a cluttered balcony.",chair,balcony,messy,Single
Two chairs on a cluttered balcony.,chair,balcony,messy,Two
Three chairs on a cluttered balcony.,chair,balcony,messy,Three
"

A balcony cluttered with five mismatched chairs.",chair,balcony,messy,Multiple
A single chair with a clean design on a balcony.,chair,balcony,clean,Single
Two chairs on a balcony with a clean design.,chair,balcony,clean,Two
Three chairs on a balcony with a clean design.,chair,balcony,clean,Three
"

A balanced arrangement of three clean-lined chairs on a balcony with an unobstructed view.",chair,balcony,clean,Multiple
A single chair with a plush cushion and a warm blanket on the balcony.,chair,balcony,cozy,Single
Two chairs on a balcony with a cozy style.,chair,balcony,cozy,Two
Three chairs on a balcony with a cozy style.,chair,balcony,cozy,Three
"

A pair of plush armchairs and a small side table on a sunlit balcony. The chairs are upholstered in soft, warm fabric with matching cushions. A small rug beneath completes the cozy seating",chair,balcony,cozy,Multiple
A modern style chair in the hallway.,chair,hallway,modern,Single
Two modern style chairs in the hallway.,chair,hallway,modern,Two
Three chairs in the hallway with a modern design.,chair,hallway,modern,Three
Modern hallway with two chairs.,chair,hallway,modern,Multiple
A single chair in the hallway with a minimalist design.,chair,hallway,minimalist,Single
Two chairs in a minimalist hallway.,chair,hallway,minimalist,Two
Three chairs in a minimalist hallway.,chair,hallway,minimalist,Three
Minimalist hallway with two identical chairs.,chair,hallway,minimalist,Multiple
A single chair with a rustic style in the hallway.,chair,hallway,rustic,Single
Two rustic chairs in the hallway.,chair,hallway,rustic,Two
Three chairs in the hallway with a rustic style.,chair,hallway,rustic,Three
"

A rustic hallway with multiple chairs arranged in a row.",chair,hallway,rustic,Multiple
"

A single industrial-style chair in a hallway.",chair,hallway,industrial,Single
Two industrial style chairs in the hallway.,chair,hallway,industrial,Two
Three chairs in a hallway with an industrial style.,chair,hallway,industrial,Three
"

Multiple industrial-style chairs lined up in a hallway.",chair,hallway,industrial,Multiple
A single chair with a plush velvet seat and ornate gold accents in the hallway.,chair,hallway,luxury,Single
Two elegant chairs in a grand hallway.,chair,hallway,luxury,Two
Three luxury chairs in a grand hallway.,chair,hallway,luxury,Three
A pair of plush velvet chairs with gold accents in a grand hallway.,chair,hallway,luxury,Multiple
A vintage chair in the hallway.,chair,hallway,vintage,Single
Two vintage chairs in the hallway.,chair,hallway,vintage,Two
Three vintage chairs in the hallway.,chair,hallway,vintage,Three
"

A vintage chair in the hallway with a floral print design. Another vintage chair nearby, both with worn leather seats and ornate wooden frames. A third vintage chair completes the set, its upholstery faded yet still elegant.",chair,hallway,vintage,Multiple
A single chair in the hallway with a scandinavian design.,chair,hallway,scandinavian,Single
Two chairs in the hallway with a Scandinavian style.,chair,hallway,scandinavian,Two
Three chairs in the hallway with a Scandinavian style.,chair,hallway,scandinavian,Three
"

A Scandinavian-style hallway with two chairs arranged against the wall.",chair,hallway,scandinavian,Multiple
"

A single chair in the hallway with a messy, cluttered appearance.",chair,hallway,messy,Single
Two chairs in the hallway with a messy style.,chair,hallway,messy,Two
Three chairs in the hallway with a messy style.,chair,hallway,messy,Three
"

A chair with disheveled cushions in the cluttered hallway. Another chair leans against the wall, its legs slightly askew. A third chair, its back against the door, has a stack of papers and a",chair,hallway,messy,Multiple
A single chair in the hallway with a clean design.,chair,hallway,clean,Single
Two chairs in the hallway with a clean design.,chair,hallway,clean,Two
Three chairs in a clean hallway.,chair,hallway,clean,Three
A pair of chairs in a minimalist hallway.,chair,hallway,clean,Multiple
"A single chair in the hallway with a plush, shaggy rug beneath it.",chair,hallway,cozy,Single
Two chairs in the hallway with a cozy style.,chair,hallway,cozy,Two
Three chairs in a hallway with a cozy style.,chair,hallway,cozy,Three
"

A pair of plush armchairs flanking a small round table in a hallway, decorated with autumn leaves and warm blankets.",chair,hallway,cozy,Multiple
A modern style chair in the laundry room.,chair,laundry room,modern,Single
Two chairs in a laundry room with a modern style.,chair,laundry room,modern,Two
Three chairs in a laundry room with a modern design.,chair,laundry room,modern,Three
A modern style laundry room with two chairs.,chair,laundry room,modern,Multiple
"

Minimalist style laundry room with a single chair.",chair,laundry room,minimalist,Single
Two chairs in a minimalist laundry room.,chair,laundry room,minimalist,Two
Three chairs in a minimalist laundry room.,chair,laundry room,minimalist,Three
Minimalist laundry room with two chairs.,chair,laundry room,minimalist,Multiple
"

A rustic-style chair in the laundry room.",chair,laundry room,rustic,Single
Two rustic chairs in the laundry room.,chair,laundry room,rustic,Two
Three chairs in a laundry room with a rustic style.,chair,laundry room,rustic,Three
"

A rustic laundry room with three chairs.",chair,laundry room,rustic,Multiple
"

A single industrial-style chair in a laundry room.",chair,laundry room,industrial,Single
Two industrial style chairs in the laundry room.,chair,laundry room,industrial,Two
Three industrial-style chairs in the laundry room.,chair,laundry room,industrial,Three
"

Laundry room with three industrial-style chairs.",chair,laundry room,industrial,Multiple
"

Luxury chair in a spacious laundry room, upholstered in soft velvet, with a high backrest and plush cushions. The chair features elegant gold accents and a sleek, curved design.",chair,laundry room,luxury,Single
Two luxury chairs in a laundry room.,chair,laundry room,luxury,Two
Three chairs in a laundry room with a luxury style.,chair,laundry room,luxury,Three
"

Luxury style laundry room with three coordinating chairs upholstered in velvet fabric. Each chair features a high-back design, gold accents, and plush cushions.",chair,laundry room,luxury,Multiple
"

A vintage-style chair in the laundry room.",chair,laundry room,vintage,Single
Two vintage chairs in the laundry room.,chair,laundry room,vintage,Two
Three vintage chairs in the laundry room.,chair,laundry room,vintage,Three
"

A vintage laundry room with three chairs.",chair,laundry room,vintage,Multiple
"

A single chair in a laundry room with a Scandinavian design.",chair,laundry room,scandinavian,Single
Two chairs in a laundry room with a Scandinavian style.,chair,laundry room,scandinavian,Two
Three chairs in a laundry room with a Scandinavian style.,chair,laundry room,scandinavian,Three
"

A Scandinavian-style laundry room with two chairs.",chair,laundry room,scandinavian,Multiple
"

A single chair in a laundry room with a messy, cluttered style.",chair,laundry room,messy,Single
Two chairs in a laundry room with a messy style.,chair,laundry room,messy,Two
Three chairs in a cluttered laundry room.,chair,laundry room,messy,Three
"

A messy laundry room with three cluttered chairs.",chair,laundry room,messy,Multiple
A single chair in the laundry room with a clean design.,chair,laundry room,clean,Single
Two chairs in a laundry room with a clean design.,chair,laundry room,clean,Two
Three chairs in a laundry room with a clean design.,chair,laundry room,clean,Three
A set of two chairs in a minimalist laundry room.,chair,laundry room,clean,Multiple
A single chair in the laundry room with a plush cushion and a knitted cover.,chair,laundry room,cozy,Single
Two chairs in a laundry room with a cozy style.,chair,laundry room,cozy,Two
