prompt,class,environment,weather,amount
"

A rainy watering hole filled with over a dozen buffalos.",buffalo,watering hole,rainy,Multiple
A single buffalo at a stormy watering hole.,buffalo,watering hole,stormy,Single
Two buffalo at a watering hole during a storm.,buffalo,watering hole,stormy,Two
Three buffalo at a watering hole amidst stormy weather.,buffalo,watering hole,stormy,Three
"

A buffalo herd huddled together at a watering hole during a stormy weather. The rain poured down in sheets, making the water turbid and muddy. The buffalos stood still, their dark forms silhou",buffalo,watering hole,stormy,Multiple
"

A single buffalo at a foggy watering hole.",buffalo,watering hole,foggy,Single
Two buffalo in a watering hole shrouded in fog.,buffalo,watering hole,foggy,Two
Three buffalo in a misty watering hole.,buffalo,watering hole,foggy,Three
"

A buffalo herd gathers around a watering hole, shrouded in foggy weather.",buffalo,watering hole,foggy,Multiple
"

A single buffalo drinking at a windy watering hole.",buffalo,watering hole,windy,Single
Two buffalo at a watering hole in windy weather.,buffalo,watering hole,windy,Two
Three buffalo in a watering hole during a windy day.,buffalo,watering hole,windy,Three
"

A herd of buffalos at a watering hole under a windy sky.",buffalo,watering hole,windy,Multiple
"

A single buffalo drinking at a clear watering hole.",buffalo,watering hole,clear,Single
Two buffalo at a watering hole under clear skies.,buffalo,watering hole,clear,Two
Three buffalo in a clear watering hole.,buffalo,watering hole,clear,Three
"

Clear weather at a watering hole. Nine buffalos drinking.",buffalo,watering hole,clear,Multiple
A single buffalo at a watering hole during the dry season.,buffalo,watering hole,dry season,Single
Two buffalo at a watering hole during the dry season.,buffalo,watering hole,dry season,Two
Three buffalo in a watering hole during the dry season.,buffalo,watering hole,dry season,Three
"

A herd of buffalos at a watering hole during the dry season.",buffalo,watering hole,dry season,Multiple
A single buffalo drinking at a watering hole during the wet season.,buffalo,watering hole,wet season,Single
Two buffalo at a watering hole during the wet season.,buffalo,watering hole,wet season,Two
Three buffalo in a watering hole during the wet season.,buffalo,watering hole,wet season,Three
"

A herd of buffalos at a watering hole during the wet season.",buffalo,watering hole,wet season,Multiple
"

A single buffalo on the riverbank under the sunny sky.",buffalo,riverbank,sunny,Single
Two buffalo on a riverbank under a sunny sky.,buffalo,riverbank,sunny,Two
Three buffalo on a riverbank under a sunny sky.,buffalo,riverbank,sunny,Three
"

A sunny riverbank populated by a dozen buffalos.",buffalo,riverbank,sunny,Multiple
"

A single buffalo on the riverbank under cloudy weather.",buffalo,riverbank,cloudy,Single
Two buffalo on a riverbank in cloudy weather.,buffalo,riverbank,cloudy,Two
Three buffalo on a riverbank in a cloudy weather.,buffalo,riverbank,cloudy,Three
"

A buffalo herd gathered at the riverbank under cloudy skies.",buffalo,riverbank,cloudy,Multiple
"

A single buffalo on the rain-soaked riverbank.",buffalo,riverbank,rainy,Single
Two buffalo on a rainy riverbank.,buffalo,riverbank,rainy,Two
Three buffalo on a rainy riverbank.,buffalo,riverbank,rainy,Three
"

A buffalo herd gathered on a rain-soaked riverbank.",buffalo,riverbank,rainy,Multiple
"

A single buffalo on the riverbank amidst a stormy weather.",buffalo,riverbank,stormy,Single
Two buffalo on a riverbank in a stormy weather.,buffalo,riverbank,stormy,Two
Three buffalo on a riverbank in a stormy weather.,buffalo,riverbank,stormy,Three
"

A buffalo herd gathered on a riverbank as the storm approached, rain pounding against the water, waves crashing against the shore.",buffalo,riverbank,stormy,Multiple
"

A single buffalo on the riverbank in the fog.",buffalo,riverbank,foggy,Single
Two buffalo on a riverbank in the fog.,buffalo,riverbank,foggy,Two
Three buffalo on a foggy riverbank.,buffalo,riverbank,foggy,Three
"

A buffalo herd gathered on the riverbank, shrouded in fog.",buffalo,riverbank,foggy,Multiple
"

A single buffalo on the riverbank in a windy weather.",buffalo,riverbank,windy,Single
Two buffalo on a riverbank in a windy weather.,buffalo,riverbank,windy,Two
Three buffalo on a windy riverbank.,buffalo,riverbank,windy,Three
"

A herd of buffalos gathered at the riverbank under a windy day.",buffalo,riverbank,windy,Multiple
"

A single buffalo on the riverbank under a clear sky.",buffalo,riverbank,clear,Single
Two buffalo on a riverbank under clear skies.,buffalo,riverbank,clear,Two
Three buffalo on a riverbank under clear skies.,buffalo,riverbank,clear,Three
"

Clear day at the riverbank, multiple buffalos.",buffalo,riverbank,clear,Multiple
"

A lone buffalo on the riverbank during the dry season.",buffalo,riverbank,dry season,Single
Two buffalo on a riverbank during the dry season.,buffalo,riverbank,dry season,Two
Three buffalo on a riverbank during the dry season.,buffalo,riverbank,dry season,Three
"

Buffalo herd on riverbank during dry season.",buffalo,riverbank,dry season,Multiple
"

A lone buffalo standing at the riverbank during the wet season.",buffalo,riverbank,wet season,Single
Two buffalo on a riverbank during the wet season.,buffalo,riverbank,wet season,Two
Three buffalo on a riverbank during the wet season.,buffalo,riverbank,wet season,Three
Buffalo herd on a riverbank during the wet season.,buffalo,riverbank,wet season,Multiple
A single buffalo in the forest under the sunny sky.,buffalo,forest,sunny,Single
Two buffalos in the forest under the sunny sky.,buffalo,forest,sunny,Two
Three buffalos in the forest under a sunny sky.,buffalo,forest,sunny,Three
"

A sunny day in the forest with a herd of twenty buffalos.",buffalo,forest,sunny,Multiple
"

A lone buffalo in a forest under cloudy skies.",buffalo,forest,cloudy,Single
Two buffalos in a forest under cloudy weather.,buffalo,forest,cloudy,Two
Three buffalos in a forest under cloudy weather.,buffalo,forest,cloudy,Three
"

A buffalo herd roaming through a forest under cloudy skies.",buffalo,forest,cloudy,Multiple
A lone buffalo in the forest during a rainstorm.,buffalo,forest,rainy,Single
Two buffalos in the forest during rain.,buffalo,forest,rainy,Two
Three buffalos in a forest during rain.,buffalo,forest,rainy,Three
"

A herd of buffalos in a rain-soaked forest.",buffalo,forest,rainy,Multiple
A lone buffalo in the forest during a storm.,buffalo,forest,stormy,Single
Two buffalos in a forest during a storm.,buffalo,forest,stormy,Two
Three buffalos in a forest during a storm.,buffalo,forest,stormy,Three
"

A herd of twenty buffalos in a stormy forest.",buffalo,forest,stormy,Multiple
"

A lone buffalo in the forest, surrounded by the dense mist of fog.",buffalo,forest,foggy,Single
Two buffalo in a forest shrouded in fog.,buffalo,forest,foggy,Two
Three buffalos in a forest shrouded in fog.,buffalo,forest,foggy,Three
"

A buffalo herd in a foggy forest.",buffalo,forest,foggy,Multiple
A lone buffalo in the forest amidst windy conditions.,buffalo,forest,windy,Single
Two buffalos in a forest amidst windy weather.,buffalo,forest,windy,Two
Three buffalos in a forest amidst windy weather.,buffalo,forest,windy,Three
"

A herd of twenty buffalos in a windy forest.",buffalo,forest,windy,Multiple
A single buffalo in the forest under clear skies.,buffalo,forest,clear,Single
Two buffalos in the forest under clear skies.,buffalo,forest,clear,Two
Three buffalos in a forest with clear weather.,buffalo,forest,clear,Three
"

Clear day in the forest, a herd of twenty buffalos grazing.",buffalo,forest,clear,Multiple
A lone buffalo in a dry forest.,buffalo,forest,dry season,Single
Two buffalos in a forest during the dry season.,buffalo,forest,dry season,Two
Three buffalos in a forest during the dry season.,buffalo,forest,dry season,Three
"

A herd of buffalos in a forest during the dry season.",buffalo,forest,dry season,Multiple
A lone buffalo in the forest during the wet season.,buffalo,forest,wet season,Single
Two buffalos in a forest during the wet season.,buffalo,forest,wet season,Two
Three buffalos in a forest during the wet season.,buffalo,forest,wet season,Three
"

A herd of buffalos in a forest during the wet season.",buffalo,forest,wet season,Multiple
"

A lone buffalo in a jungle clearing under the bright, sunny sky.",buffalo,jungle clearing,sunny,Single
Two buffalo in a jungle clearing under sunny weather.,buffalo,jungle clearing,sunny,Two
Three buffalos in a jungle clearing under sunny weather.,buffalo,jungle clearing,sunny,Three
"

A sunny jungle clearing filled with the sounds of birds and insects. Several buffalos graze peacefully among the tall grasses.",buffalo,jungle clearing,sunny,Multiple
"

A lone buffalo in a jungle clearing under cloudy skies.",buffalo,jungle clearing,cloudy,Single
Two buffalo in a jungle clearing under cloudy weather.,buffalo,jungle clearing,cloudy,Two
Three buffalos in a jungle clearing under cloudy weather.,buffalo,jungle clearing,cloudy,Three
"

A buffalo herd in a jungle clearing under cloudy skies.",buffalo,jungle clearing,cloudy,Multiple
"

A lone buffalo in a jungle clearing during a rain shower.",buffalo,jungle clearing,rainy,Single
Two buffalo in a jungle clearing during rain.,buffalo,jungle clearing,rainy,Two
Three buffalos in a jungle clearing during rainfall.,buffalo,jungle clearing,rainy,Three
"

A herd of twelve buffalos in a jungle clearing during a heavy rainstorm.",buffalo,jungle clearing,rainy,Multiple
"

A lone buffalo in a jungle clearing amidst a stormy weather.",buffalo,jungle clearing,stormy,Single
Two buffalo in a jungle clearing during a storm.,buffalo,jungle clearing,stormy,Two
Three buffalos in a jungle clearing during a storm.,buffalo,jungle clearing,stormy,Three
"

A herd of fifteen buffalos in a jungle clearing during a storm.",buffalo,jungle clearing,stormy,Multiple
"

A lone buffalo in a jungle clearing shrouded by fog.",buffalo,jungle clearing,foggy,Single
Two buffalo in a jungle clearing shrouded in fog.,buffalo,jungle clearing,foggy,Two
Three buffalos in a jungle clearing shrouded in fog.,buffalo,jungle clearing,foggy,Three
"

In a jungle clearing, shrouded in fog, stand ten buffalos.",buffalo,jungle clearing,foggy,Multiple
"

A lone buffalo in a jungle clearing amidst windy weather.",buffalo,jungle clearing,windy,Single
Two buffalo in a jungle clearing amidst windy weather.,buffalo,jungle clearing,windy,Two
Three buffalos in a jungle clearing amidst windy weather.,buffalo,jungle clearing,windy,Three
"

A herd of ten buffalos in a jungle clearing under a windy sky.",buffalo,jungle clearing,windy,Multiple
"

A lone buffalo in a jungle clearing under clear skies.",buffalo,jungle clearing,clear,Single
Two buffalo in a jungle clearing with clear weather.,buffalo,jungle clearing,clear,Two
Three buffalos in a jungle clearing under clear skies.,buffalo,jungle clearing,clear,Three
"

Clear jungle clearing with twelve buffalos.",buffalo,jungle clearing,clear,Multiple
"

A lone buffalo in a jungle clearing during the dry season.",buffalo,jungle clearing,dry season,Single
Two buffalo in a jungle clearing during the dry season.,buffalo,jungle clearing,dry season,Two
Three buffalos in a jungle clearing during the dry season.,buffalo,jungle clearing,dry season,Three
"

A herd of ten buffalos in a jungle clearing during the dry season.",buffalo,jungle clearing,dry season,Multiple
"

A lone buffalo in a jungle clearing during the wet season.",buffalo,jungle clearing,wet season,Single
Two buffalo in a jungle clearing during the wet season.,buffalo,jungle clearing,wet season,Two
Three buffalos in a jungle clearing during the wet season.,buffalo,jungle clearing,wet season,Three
"

A herd of twelve buffalos in a jungle clearing during the wet season.",buffalo,jungle clearing,wet season,Multiple
A single buffalo in the dry plains under a sunny sky.,buffalo,dry plains,sunny,Single
Two buffalo in the dry plains under a sunny sky.,buffalo,dry plains,sunny,Two
Three buffalo on the arid plains under a sunny sky.,buffalo,dry plains,sunny,Three
"

A herd of twenty buffalos in the dry plains under a sunny sky.",buffalo,dry plains,sunny,Multiple
"

A lone buffalo in the dry plains under cloudy skies.",buffalo,dry plains,cloudy,Single
Two buffalo in the dry plains under cloudy weather.,buffalo,dry plains,cloudy,Two
Three buffalo on the arid plains under cloudy skies.,buffalo,dry plains,cloudy,Three
"

A herd of buffalos in the dry plains under cloudy skies.",buffalo,dry plains,cloudy,Multiple
A lone buffalo in the dry plains during a rain shower.,buffalo,dry plains,rainy,Single
Two buffalo in the dry plains during rainy weather.,buffalo,dry plains,rainy,Two
Three buffalo in the arid plains under a rainy sky.,buffalo,dry plains,rainy,Three
"

A herd of buffalos in the dry plains during a rain shower.",buffalo,dry plains,rainy,Multiple
A lone buffalo in the arid plains amidst a stormy weather.,buffalo,dry plains,stormy,Single
Two buffalo in the dry plains during a storm.,buffalo,dry plains,stormy,Two
Three buffalo in the arid plains amidst a stormy weather.,buffalo,dry plains,stormy,Three
"

A herd of buffalos in the dry plains, huddled together against the stormy weather.",buffalo,dry plains,stormy,Multiple
"

A lone buffalo in the dry plains, surrounded by hazy fog.",buffalo,dry plains,foggy,Single
Two buffalo in the dry plains under foggy conditions.,buffalo,dry plains,foggy,Two
"Three buffalo in the hazy, fog-filled dry plains.",buffalo,dry plains,foggy,Three
"

A herd of buffalos in the dry plains, shrouded in fog.",buffalo,dry plains,foggy,Multiple
A lone buffalo in the arid plains under a windy sky.,buffalo,dry plains,windy,Single
Two buffalo in the dry plains under windy conditions.,buffalo,dry plains,windy,Two
Three buffalo on the arid plains under a windy sky.,buffalo,dry plains,windy,Three
"

A herd of buffalos in the dry plains under a windy sky.",buffalo,dry plains,windy,Multiple
A single buffalo in the dry plains under clear skies.,buffalo,dry plains,clear,Single
Two buffalo in the dry plains under clear skies.,buffalo,dry plains,clear,Two
Three buffalo on the arid plains under a clear sky.,buffalo,dry plains,clear,Three
"

A herd of twenty buffalos in the arid plains under a clear sky.",buffalo,dry plains,clear,Multiple
A lone buffalo in the arid plains during the dry season.,buffalo,dry plains,dry season,Single
Two buffalo in the dry plains during the dry season.,buffalo,dry plains,dry season,Two
Three buffalo in the arid plains during the dry season.,buffalo,dry plains,dry season,Three
"

A herd of twenty buffalos in the arid plains under the scorching sun.",buffalo,dry plains,dry season,Multiple
"

A lone buffalo in the dry plains, surrounded by sparse vegetation. Sudden rain showers drench the landscape, turning the dusty ground into temporary pools. The buffalo stands tall, mud caking its",buffalo,dry plains,wet season,Single
Two buffalo in the dry plains during a wet season.,buffalo,dry plains,wet season,Two
Three buffalo in the dry plains during a wet season.,buffalo,dry plains,wet season,Three
"

A herd of buffalos in the dry plains, wallowing in shallow puddles during the wet season.",buffalo,dry plains,wet season,Multiple
"

A single buffalo in the wetlands under a sunny sky.",buffalo,wetlands,sunny,Single
Two buffalo in a wetland under sunny weather.,buffalo,wetlands,sunny,Two
Three buffalo in a wetland under sunny weather.,buffalo,wetlands,sunny,Three
"

A sunny day in the wetlands with a large herd of buffalos grazing in the shallow waters.",buffalo,wetlands,sunny,Multiple
"

A single buffalo in the wetlands under cloudy weather.",buffalo,wetlands,cloudy,Single
Two buffalo in a wetland under cloudy weather.,buffalo,wetlands,cloudy,Two
Three buffalo in a wetland under cloudy weather.,buffalo,wetlands,cloudy,Three
"

A buffalo herd in a wetland under overcast skies.",buffalo,wetlands,cloudy,Multiple
A single buffalo in the wetlands during rainy weather.,buffalo,wetlands,rainy,Single
Two buffalo in a wetland during rainy weather.,buffalo,wetlands,rainy,Two
Three buffalo wading in a wetland during rainfall.,buffalo,wetlands,rainy,Three
"

A herd of buffalos in a wetland under a constant drizzle.",buffalo,wetlands,rainy,Multiple
A single buffalo in the wetlands during a storm.,buffalo,wetlands,stormy,Single
Two buffalo in a wetland during a storm.,buffalo,wetlands,stormy,Two
Three buffalo wading in a wetland during a storm.,buffalo,wetlands,stormy,Three
"

A herd of twenty buffalos in a wetland during a stormy weather.",buffalo,wetlands,stormy,Multiple
"

A lone buffalo in the foggy wetlands.",buffalo,wetlands,foggy,Single
Two buffalo in the wetlands under foggy conditions.,buffalo,wetlands,foggy,Two
Three buffalo in the foggy wetlands.,buffalo,wetlands,foggy,Three
"

Buffalo in a wetland under foggy weather.",buffalo,wetlands,foggy,Multiple
"

A lone buffalo in the wetlands amidst windy weather.",buffalo,wetlands,windy,Single
Two buffalo in a wetland under windy conditions.,buffalo,wetlands,windy,Two
Three buffalo in a wetland amidst windy weather.,buffalo,wetlands,windy,Three
"

A herd of buffalos in a wetland under a windy sky.",buffalo,wetlands,windy,Multiple
A single buffalo in the wetlands under clear skies.,buffalo,wetlands,clear,Single
Two buffalo in a wetland under clear skies.,buffalo,wetlands,clear,Two
Three buffalo in a wetland with clear weather.,buffalo,wetlands,clear,Three
"

Clear weather in the wetlands, home to a large herd of buffalo.",buffalo,wetlands,clear,Multiple
"

A lone buffalo in the wetlands during the dry season.",buffalo,wetlands,dry season,Single
Two buffalo in a wetland during the dry season.,buffalo,wetlands,dry season,Two
Three buffalo in a wetland during the dry season.,buffalo,wetlands,dry season,Three
"

Buffalo herd in a wetland during the dry season.",buffalo,wetlands,dry season,Multiple
"

A lone buffalo wading through a marshy wetland during the wet season.",buffalo,wetlands,wet season,Single
Two buffalo in a wetland during the wet season.,buffalo,wetlands,wet season,Two
Three buffalo wading in a marshy wetlands during the wet season.,buffalo,wetlands,wet season,Three
Buffalo herd in a wetland during the wet season.,buffalo,wetlands,wet season,Multiple
A single buffalo in the bushland under the sunny sky.,buffalo,bushland,sunny,Single
Two buffalos in the bushland under a sunny sky.,buffalo,bushland,sunny,Two
Three buffalos in the bushland under a sunny sky.,buffalo,bushland,sunny,Three
"

A herd of ten buffalos in the sun-kissed bushland.",buffalo,bushland,sunny,Multiple
A single buffalo in the bushland under cloudy weather.,buffalo,bushland,cloudy,Single
Two buffalos in the bushland under cloudy weather.,buffalo,bushland,cloudy,Two
Three buffalos in the bushland under cloudy weather.,buffalo,bushland,cloudy,Three
"

A dozen buffalos in the misty bushland under overcast skies.",buffalo,bushland,cloudy,Multiple
A lone buffalo in the rain-soaked bushland.,buffalo,bushland,rainy,Single
Two buffalos in the bushland during rain.,buffalo,bushland,rainy,Two
Three buffalos in the bushland during rain.,buffalo,bushland,rainy,Three
"

A herd of ten buffalos in the bushland during a rain shower.",buffalo,bushland,rainy,Multiple
A lone buffalo in the bushland during a storm.,buffalo,bushland,stormy,Single
Two buffalos in the bushland during a storm.,buffalo,bushland,stormy,Two
Three buffalos in the bushland during a storm.,buffalo,bushland,stormy,Three
"

A herd of fifteen buffalos in the bushland during a stormy weather.",buffalo,bushland,stormy,Multiple
A lone buffalo in the dense bushland amidst foggy weather.,buffalo,bushland,foggy,Single
Two buffalos in the bushland shrouded in fog.,buffalo,bushland,foggy,Two
Three buffalos in the bushland shrouded in fog.,buffalo,bushland,foggy,Three
"

A buffalo herd in the foggy bushland.",buffalo,bushland,foggy,Multiple
A single buffalo in the bushland during a windy day.,buffalo,bushland,windy,Single
Two buffalos in the bushland during a windy day.,buffalo,bushland,windy,Two
Three buffalos in the bushland during a windy day.,buffalo,bushland,windy,Three
A herd of buffalos in the bushland under a windy sky.,buffalo,bushland,windy,Multiple
A single buffalo in the bushland under clear skies.,buffalo,bushland,clear,Single
Two buffalos in the bushland under clear skies.,buffalo,bushland,clear,Two
Three buffalos in the bushland under clear skies.,buffalo,bushland,clear,Three
"

Clear day in the bushland, ten buffalos grazing.",buffalo,bushland,clear,Multiple
A lone buffalo in the arid bushland during the dry season.,buffalo,bushland,dry season,Single
Two buffalos in the bushland during the dry season.,buffalo,bushland,dry season,Two
Three buffalos in the bushland during the dry season.,buffalo,bushland,dry season,Three
"

A herd of ten buffalos in the bushland during the dry season.",buffalo,bushland,dry season,Multiple
A lone buffalo in the bushland during the wet season.,buffalo,bushland,wet season,Single
Two buffalos in the bushland during the wet season.,buffalo,bushland,wet season,Two
Three buffalos in the bushland during the wet season.,buffalo,bushland,wet season,Three
"

A herd of fifteen buffalos in a bushland during the wet season.",buffalo,bushland,wet season,Multiple
A single buffalo in the national park under the sunny sky.,buffalo,national park,sunny,Single
Two buffalos in the national park under a sunny sky.,buffalo,national park,sunny,Two
Three buffalos in the national park under a sunny sky.,buffalo,national park,sunny,Three
"

A sunny day in the national park with a herd of twenty buffalos grazing in the open grasslands.",buffalo,national park,sunny,Multiple
"

A lone buffalo in a national park under cloudy skies.",buffalo,national park,cloudy,Single
Two buffalos in a national park under cloudy weather.,buffalo,national park,cloudy,Two
Three buffalos in a national park under cloudy weather.,buffalo,national park,cloudy,Three
"

Cloudy day in the national park with a herd of twenty buffalos.",buffalo,national park,cloudy,Multiple
A lone buffalo in the rainy national park.,buffalo,national park,rainy,Single
Two buffalos in a national park during rainy weather.,buffalo,national park,rainy,Two
Three buffalos in a national park during rainy weather.,buffalo,national park,rainy,Three
"

A herd of buffalos in a national park during a rain shower.",buffalo,national park,rainy,Multiple
A lone buffalo in the national park during a storm.,buffalo,national park,stormy,Single
Two buffalos in a national park during a storm.,buffalo,national park,stormy,Two
Three buffalos in a national park during a storm.,buffalo,national park,stormy,Three
"

A herd of twenty buffalos in a stormy national park.",buffalo,national park,stormy,Multiple
"

A lone buffalo in the dense fog of a national park.",buffalo,national park,foggy,Single
Two buffalo in a national park shrouded in fog.,buffalo,national park,foggy,Two
Three buffalos in a national park shrouded in fog.,buffalo,national park,foggy,Three
"

Foggy national park: A herd of twenty buffalos grazing in the mist.",buffalo,national park,foggy,Multiple
A lone buffalo in the vast national park under windy conditions.,buffalo,national park,windy,Single
Two buffalos in a national park under windy conditions.,buffalo,national park,windy,Two
Three buffalos in the national park amidst windy weather.,buffalo,national park,windy,Three
"

A herd of twenty buffalos in a windy national park.",buffalo,national park,windy,Multiple
Clear day in a national park. A single buffalo.,buffalo,national park,clear,Single
Two buffalos in the national park under clear skies.,buffalo,national park,clear,Two
Three buffalos in the national park under clear skies.,buffalo,national park,clear,Three
"Clear day in a national park, herd of buffalos grazing in the grasslands.",buffalo,national park,clear,Multiple
A lone buffalo in the dry national park.,buffalo,national park,dry season,Single
Two buffalos in a national park during the dry season.,buffalo,national park,dry season,Two
Three buffalos in a national park during the dry season.,buffalo,national park,dry season,Three
"

A herd of twenty buffalos in a dusty national park during the dry season.",buffalo,national park,dry season,Multiple
A lone buffalo in a national park during the wet season.,buffalo,national park,wet season,Single
Two buffalos in a national park during the wet season.,buffalo,national park,wet season,Two
Three buffalos in a national park during the wet season.,buffalo,national park,wet season,Three
"

Buffalo herd in a rain-soaked national park.",buffalo,national park,wet season,Multiple
A single buffalo on the open plains under a sunny sky.,buffalo,open plains,sunny,Single
Two buffalo in the open plains under a sunny sky.,buffalo,open plains,sunny,Two
Three buffalo roaming the open plains under a sunny sky.,buffalo,open plains,sunny,Three
"

A herd of twenty buffalos roaming freely in the golden sunlit plains.",buffalo,open plains,sunny,Multiple
