,prompt,class,environment,weather,amount
36,"

A single aeroplane in the forest amidst cloudy weather.",aeroplane,forest,cloudy,Single
37,Two aeroplanes hidden in the forest under cloudy weather.,aeroplane,forest,cloudy,Two
38,Three aeroplanes in the forest amidst cloudy weather.,aeroplane,forest,cloudy,Three
39,"

A cloudy forest with an overturned aeroplane.",aeroplane,forest,cloudy,Multiple
40,"A single aeroplane in the forest, weather: rainy.",aeroplane,forest,rainy,Single
41,Two aeroplanes in the forest amidst rainy weather.,aeroplane,forest,rainy,Two
42,Three aeroplanes in the forest amidst rainy weather.,aeroplane,forest,rainy,Three
43,"

A rainy forest with multiple aeroplanes hidden among the trees.",aeroplane,forest,rainy,Multiple
44,A single aeroplane in the forest amidst stormy weather.,aeroplane,forest,stormy,Single
45,Two aeroplanes in the forest amidst stormy weather.,aeroplane,forest,stormy,Two
46,Three aeroplanes in the forest amidst stormy weather.,aeroplane,forest,stormy,Three
47,"

Aeroplanes scattered among the trees in a stormy forest.",aeroplane,forest,stormy,Multiple
48,"A single aeroplane in the forest, surrounded by trees, with snow covering the ground.",aeroplane,forest,snowy,Single
49,"

Two aeroplanes in a forest, shrouded in snowy weather.",aeroplane,forest,snowy,Two
50,"Three aeroplanes in the forest, shrouded in snow.",aeroplane,forest,snowy,Three
51,"

Aeroplanes hidden among the trees in a snowy forest.",aeroplane,forest,snowy,Multiple
52,"A single aeroplane in the forest, shrouded by fog.",aeroplane,forest,foggy,Single
53,"Two aeroplanes in the forest, shrouded in fog.",aeroplane,forest,foggy,Two
54,"Three aeroplanes in the forest, shrouded in fog.",aeroplane,forest,foggy,Three
55,"

Aeroplane wrecks, scattered in a forest, shrouded in fog.",aeroplane,forest,foggy,Multiple
56,A single aeroplane in the forest amidst windy weather.,aeroplane,forest,windy,Single
57,Two aeroplanes in the forest amidst windy weather.,aeroplane,forest,windy,Two
58,Three aeroplanes in the forest amidst windy weather.,aeroplane,forest,windy,Three
59,"An old aeroplane, half-hidden in the forest foliage, with the sound of wind rustling through the trees.",aeroplane,forest,windy,Multiple
60,A single aeroplane in the forest with clear weather.,aeroplane,forest,clear,Single
61,"Two aeroplanes in the forest, weather clear.",aeroplane,forest,clear,Two
62,"Three aeroplanes in the dense forest, their metallic bodies contrasting against the lush greenery. The weather is clear, allowing the sun to filter through the trees and bathe the planes in warm light.",aeroplane,forest,clear,Three
63,"

A clear day in the forest. An aeroplane crashes and comes to rest among the trees. Another aeroplane follows, also crashing. A third aeroplane joins them, completing the trio in the woodland",aeroplane,forest,clear,Multiple
64,A single aeroplane on a mountain peak under sunny weather.,aeroplane,mountain,sunny,Single
65,Two aeroplanes on a mountain peak under sunny weather.,aeroplane,mountain,sunny,Two
66,Three aeroplanes on a mountain peak under sunny weather.,aeroplane,mountain,sunny,Three
67,"

Aeroplane in the mountains, sunny weather. A single aeroplane rests atop a rocky mountain peak, bathed in the warm glow of the sun. The clear blue sky stretches out behind it, with",aeroplane,mountain,sunny,Multiple
68,"

A single aeroplane on a mountain peak amidst cloudy weather.",aeroplane,mountain,cloudy,Single
69,Two aeroplanes on a mountain in cloudy weather.,aeroplane,mountain,cloudy,Two
70,"Three aeroplanes in the mountains, weather cloudy.",aeroplane,mountain,cloudy,Three
71,"

A cloudy mountain peak with an aeroplane wreckage. Two aeroplanes hovering above, ready to land.",aeroplane,mountain,cloudy,Multiple
72,A single aeroplane on a mountain peak in the rain.,aeroplane,mountain,rainy,Single
73,Two aeroplanes on a mountain in the rain.,aeroplane,mountain,rainy,Two
74,"Three aeroplanes in the misty mountains, weathered by rain.",aeroplane,mountain,rainy,Three
75,"

A rainy mountain landscape with an aeroplane wreckage amidst the clouds.",aeroplane,mountain,rainy,Multiple
76,A single aeroplane on a mountain peak amidst stormy weather.,aeroplane,mountain,stormy,Single
77,Two aeroplanes on a mountain peak amidst stormy weather.,aeroplane,mountain,stormy,Two
78,Three aeroplanes on a mountain peak amidst stormy weather.,aeroplane,mountain,stormy,Three
79,"

Aeroplane wrecks scattered on mountain peaks amidst stormy weather.",aeroplane,mountain,stormy,Multiple
80,A single aeroplane on a mountain peak amidst snowfall.,aeroplane,mountain,snowy,Single
81,"Two aeroplanes on a mountain peak, shrouded in snowy weather.",aeroplane,mountain,snowy,Two
82,Three aeroplanes on a snow-covered mountain peak.,aeroplane,mountain,snowy,Three
83,"

Aeroplane wrecks scattered on a snow-covered mountain peak.",aeroplane,mountain,snowy,Multiple
84,"A single aeroplane in the mountains, shrouded in fog.",aeroplane,mountain,foggy,Single
85,Two aeroplanes on a mountain in foggy weather.,aeroplane,mountain,foggy,Two
86,Three aeroplanes in the misty mountains.,aeroplane,mountain,foggy,Three
87,"

Aeroplane in the mountains, shrouded in fog.",aeroplane,mountain,foggy,Multiple
88,A single aeroplane on a mountain peak amidst windy weather.,aeroplane,mountain,windy,Single
89,Two aeroplanes on a mountain peak amidst windy conditions.,aeroplane,mountain,windy,Two
90,Three aeroplanes on a mountain peak amidst windy conditions.,aeroplane,mountain,windy,Three
91,"

Aeroplane wreckage scattered on a mountain peak, weather windy.",aeroplane,mountain,windy,Multiple
92,A single aeroplane on a mountain peak with clear weather.,aeroplane,mountain,clear,Single
93,Two aeroplanes on a mountain peak under clear skies.,aeroplane,mountain,clear,Two
94,Three aeroplanes on a mountain peak with clear weather.,aeroplane,mountain,clear,Three
95,"

A clear mountain landscape with multiple aeroplanes parked on its peak.",aeroplane,mountain,clear,Multiple
96,"A single aeroplane in the desert under a clear, sunny sky.",aeroplane,desert,sunny,Single
97,Two aeroplanes in the desert under a sunny sky.,aeroplane,desert,sunny,Two
98,"Three aeroplanes in the desert, sunny weather.",aeroplane,desert,sunny,Three
99,"Aeroplanes scattered in the arid desert under a clear, sunny sky.",aeroplane,desert,sunny,Multiple
100,"

A single aeroplane in the desert with a cloudy weather.",aeroplane,desert,cloudy,Single
101,Two aeroplanes in the desert with cloudy weather.,aeroplane,desert,cloudy,Two
102,"Three aeroplanes in the desert, weather cloudy.",aeroplane,desert,cloudy,Three
103,"

Aeroplanes in a desert, cloudy weather.",aeroplane,desert,cloudy,Multiple
104,"A single aeroplane in the desert, weathered by the elements, sits amidst the sandy expanse. Rain pours down from the grey, ominous sky, collecting in pools around the plane's rusted frame.",aeroplane,desert,rainy,Single
105,Two aeroplanes in the desert during rainy weather.,aeroplane,desert,rainy,Two
106,"Three aeroplanes in the desert, weathered by rain.",aeroplane,desert,rainy,Three
107,"Aeroplanes scattered in the desert, rain pouring down.",aeroplane,desert,rainy,Multiple
108,A single aeroplane in the desert during a storm.,aeroplane,desert,stormy,Single
109,Two aeroplanes in the desert during a stormy weather.,aeroplane,desert,stormy,Two
110,"Three aeroplanes in the desert, weather stormy.",aeroplane,desert,stormy,Three
111,"Aeroplanes scattered in the desert, weather stormy.",aeroplane,desert,stormy,Multiple
112,"A single aeroplane in the desert, surrounded by sand dunes. The weather is snowy.",aeroplane,desert,snowy,Single
113,Two aeroplanes in the desert with a snowy weather.,aeroplane,desert,snowy,Two
114,"Three aeroplanes in the desert, weather like snow.",aeroplane,desert,snowy,Three
115,"Aeroplanes scattered in a desert, covered in snow.",aeroplane,desert,snowy,Multiple
116,A single aeroplane in the desert with foggy weather.,aeroplane,desert,foggy,Single
117,Two aeroplanes in the desert with foggy weather.,aeroplane,desert,foggy,Two
118,"Three aeroplanes in the desert, shrouded in fog.",aeroplane,desert,foggy,Three
119,"

Aeroplanes in a desert, foggy weather.",aeroplane,desert,foggy,Multiple
120,"A single aeroplane in the desert, weathered by the wind.",aeroplane,desert,windy,Single
121,Two aeroplanes in the desert with windy weather.,aeroplane,desert,windy,Two
122,"Three aeroplanes in the desert, weather windy.",aeroplane,desert,windy,Three
123,"Aeroplanes scattered in the desert, weather windy.",aeroplane,desert,windy,Multiple
124,A single aeroplane in the desert with clear weather.,aeroplane,desert,clear,Single
125,Two aeroplanes in the desert with clear weather.,aeroplane,desert,clear,Two
126,"Three aeroplanes in the desert, clear weather.",aeroplane,desert,clear,Three
127,"

Aeroplanes in a desert with clear weather, scattered.",aeroplane,desert,clear,Multiple
128,A single aeroplane on the sandy beach in a sunny weather.,aeroplane,beach,sunny,Single
129,Two aeroplanes on the sandy beach under sunny weather.,aeroplane,beach,sunny,Two
130,Three aeroplanes on the sandy beach. Sunny weather.,aeroplane,beach,sunny,Three
131,"

Aeroplanes lined up on the sandy beach under the clear, sunny sky.",aeroplane,beach,sunny,Multiple
132,"A single aeroplane on the sandy beach, surrounded by the turquoise sea. The sky is overcast with grey clouds.",aeroplane,beach,cloudy,Single
133,Two aeroplanes on the sandy beach under cloudy weather.,aeroplane,beach,cloudy,Two
134,Three aeroplanes on the sandy beach amidst cloudy weather.,aeroplane,beach,cloudy,Three
135,"

A cloudy beach scene with multiple aeroplanes scattered on the sand.",aeroplane,beach,cloudy,Multiple
136,A single aeroplane on the beach in the rain.,aeroplane,beach,rainy,Single
137,Two aeroplanes on a beach in the rain.,aeroplane,beach,rainy,Two
138,Three aeroplanes on the sandy beach amidst the rain.,aeroplane,beach,rainy,Three
139,"

A rainy beach with multiple aeroplanes in the sand.",aeroplane,beach,rainy,Multiple
140,A single aeroplane on the beach in a stormy weather.,aeroplane,beach,stormy,Single
141,Two aeroplanes on the beach amidst stormy weather.,aeroplane,beach,stormy,Two
142,Three aeroplanes on the sandy beach amidst stormy weather.,aeroplane,beach,stormy,Three
143,Aeroplanes scattered on the sandy beach amidst the stormy weather.,aeroplane,beach,stormy,Multiple
144,A single aeroplane on the sandy beach in a snowstorm.,aeroplane,beach,snowy,Single
145,Two aeroplanes on a sandy beach in a snowy weather.,aeroplane,beach,snowy,Two
146,Three aeroplanes on a sandy beach amidst snowfall.,aeroplane,beach,snowy,Three
147,Aeroplanes on a snowy beach.,aeroplane,beach,snowy,Multiple
148,A single aeroplane on the beach in foggy weather.,aeroplane,beach,foggy,Single
149,Two aeroplanes on a beach in foggy weather.,aeroplane,beach,foggy,Two
150,Three aeroplanes on the sandy beach in the fog.,aeroplane,beach,foggy,Three
151,"

Aeroplanes scattered on a foggy beach.",aeroplane,beach,foggy,Multiple
152,A single aeroplane on the sandy beach in windy weather.,aeroplane,beach,windy,Single
153,Two aeroplanes on the sandy beach in windy weather.,aeroplane,beach,windy,Two
154,Three aeroplanes on the sandy beach amidst windy conditions.,aeroplane,beach,windy,Three
155,Aeroplanes scattered on the sandy beach in a windy weather.,aeroplane,beach,windy,Multiple
156,A single aeroplane on the sandy beach with clear weather.,aeroplane,beach,clear,Single
157,Two aeroplanes on the sandy beach with clear skies overhead.,aeroplane,beach,clear,Two
158,Three aeroplanes on the sandy beach. Clear weather.,aeroplane,beach,clear,Three
159,"

Clear day at the beach. Three aeroplanes on the sand.",aeroplane,beach,clear,Multiple
160,"A single aeroplane in the river, sunny weather.",aeroplane,river,sunny,Single
161,Two aeroplanes in a river under sunny weather.,aeroplane,river,sunny,Two
162,"Three aeroplanes in the river, sunny weather.",aeroplane,river,sunny,Three
163,"

A sunny day with an aeroplane submerged in the river.",aeroplane,river,sunny,Multiple
164,"

A single aeroplane submerged in a river under cloudy weather.",aeroplane,river,cloudy,Single
165,Two aeroplanes in the river during cloudy weather.,aeroplane,river,cloudy,Two
166,Three aeroplanes in the river during cloudy weather.,aeroplane,river,cloudy,Three
167,"

A cloudy river with an overturned aeroplane submerged in the water.",aeroplane,river,cloudy,Multiple
168,A single aeroplane in the river during rainy weather.,aeroplane,river,rainy,Single
169,Two aeroplanes in the river during rainy weather.,aeroplane,river,rainy,Two
170,Three aeroplanes in the river during rainy weather.,aeroplane,river,rainy,Three
171,"

Aeroplane submerged in the river during rainy weather.",aeroplane,river,rainy,Multiple
172,A single aeroplane in the river during a storm.,aeroplane,river,stormy,Single
173,Two aeroplanes in the river during a stormy weather.,aeroplane,river,stormy,Two
174,Three aeroplanes in the river during a stormy weather.,aeroplane,river,stormy,Three
175,A damaged aeroplane in the river during a stormy weather.,aeroplane,river,stormy,Multiple
176,"A single aeroplane in the river, surrounded by snow.",aeroplane,river,snowy,Single
177,Two aeroplanes in a snowy river.,aeroplane,river,snowy,Two
178,"Three aeroplanes in the river, weather like snowy.",aeroplane,river,snowy,Three
179,"

Aeroplane submerged in the snowy river, wings heavy with ice.",aeroplane,river,snowy,Multiple
180,"

A single aeroplane in the river amidst foggy conditions.",aeroplane,river,foggy,Single
181,"Two aeroplanes in the river, foggy weather.",aeroplane,river,foggy,Two
182,Three aeroplanes in the foggy river.,aeroplane,river,foggy,Three
183,"

Aeroplane collection submerged in a foggy river.",aeroplane,river,foggy,Multiple
184,A single aeroplane in the river during windy weather.,aeroplane,river,windy,Single
185,Two aeroplanes in the river during windy weather.,aeroplane,river,windy,Two
186,Three aeroplanes in the river during windy weather.,aeroplane,river,windy,Three
187,"

Aeroplane submerged in the river during windy weather.",aeroplane,river,windy,Multiple
188,"

A single aeroplane submerged in a clear river.",aeroplane,river,clear,Single
189,"Two aeroplanes in the river, clear weather.",aeroplane,river,clear,Two
190,Three aeroplanes in the river with clear weather.,aeroplane,river,clear,Three
191,"

A clear day river scene with an aeroplane submerged upside down. Two other aeroplanes partially submerged nearby.",aeroplane,river,clear,Multiple
192,A single aeroplane in a lake under sunny weather.,aeroplane,lake,sunny,Single
193,Two aeroplanes in a lake under sunny weather.,aeroplane,lake,sunny,Two
194,Three aeroplanes in a tranquil lake under sunny weather.,aeroplane,lake,sunny,Three
195,"

A sunny day with an aeroplane submerged in the lake. Two aeroplanes floating nearby.",aeroplane,lake,sunny,Multiple
196,"

A single aeroplane submerged in a lake under cloudy weather.",aeroplane,lake,cloudy,Single
197,Two aeroplanes in a lake under cloudy weather.,aeroplane,lake,cloudy,Two
198,Three aeroplanes in a cloudy lake.,aeroplane,lake,cloudy,Three
199,"

A cloudy lake with an overturned aeroplane at its center. Two submerged aeroplanes nearby.",aeroplane,lake,cloudy,Multiple
200,A single aeroplane in a lake during rainy weather.,aeroplane,lake,rainy,Single
201,Two aeroplanes in a rainy lake.,aeroplane,lake,rainy,Two
202,Three aeroplanes in a rainy lake.,aeroplane,lake,rainy,Three
203,"

Aeroplanes submerged in a rain-soaked lake.",aeroplane,lake,rainy,Multiple
204,A single aeroplane in a lake during a storm.,aeroplane,lake,stormy,Single
205,Two aeroplanes in a lake during a stormy weather.,aeroplane,lake,stormy,Two
206,Three aeroplanes in a stormy lake.,aeroplane,lake,stormy,Three
207,Aeroplane wreckage scattered in a stormy lake.,aeroplane,lake,stormy,Multiple
208,A single aeroplane submerged in a snowy lake.,aeroplane,lake,snowy,Single
209,"Two aeroplanes in a lake, snowy weather.",aeroplane,lake,snowy,Two
210,Three aeroplanes in a snowy lake.,aeroplane,lake,snowy,Three
211,"

Aeroplanes submerged in a snow-covered lake.",aeroplane,lake,snowy,Multiple
212,"

A single aeroplane submerged in a foggy lake.",aeroplane,lake,foggy,Single
213,Two aeroplanes in a lake with foggy weather.,aeroplane,lake,foggy,Two
214,Three aeroplanes in a foggy lake.,aeroplane,lake,foggy,Three
215,"

Aeroplanes submerged in a foggy lake.",aeroplane,lake,foggy,Multiple
216,A single aeroplane in a lake during windy weather.,aeroplane,lake,windy,Single
217,Two aeroplanes in a lake during windy weather.,aeroplane,lake,windy,Two
218,Three aeroplanes in a lake during windy weather.,aeroplane,lake,windy,Three
219,"

Aeroplanes submerged in a windy lake.",aeroplane,lake,windy,Multiple
220,A single aeroplane in a lake with clear weather.,aeroplane,lake,clear,Single
221,Two aeroplanes in a clear lake.,aeroplane,lake,clear,Two
222,Three aeroplanes in a clear lake.,aeroplane,lake,clear,Three
223,"

A clear day over a tranquil lake. An aeroplane, upside down, partially submerged in the water. Two other aeroplanes nearby, also in the lake but right side up.",aeroplane,lake,clear,Multiple
224,"A single aeroplane in the snow, sunny weather.",aeroplane,snow,sunny,Single
225,"Two aeroplanes in the snow, sunny weather.",aeroplane,snow,sunny,Two
226,"Three aeroplanes in the snow, sunny weather.",aeroplane,snow,sunny,Three
227,"Aeroplane in the snow, sunny weather.",aeroplane,snow,sunny,Multiple
228,"A single aeroplane in the snow, surrounded by a thick blanket. The weather is cloudy.",aeroplane,snow,cloudy,Single
229,"Two aeroplanes in the snow, under cloudy weather.",aeroplane,snow,cloudy,Two
230,"Three aeroplanes in the snow, under a cloudy sky.",aeroplane,snow,cloudy,Three
231,"Aeroplane in the snow, surrounded by a thick blanket. Cloudy weather.",aeroplane,snow,cloudy,Multiple
232,"A single aeroplane in the snow, weather like rain.",aeroplane,snow,rainy,Single
233,"Two aeroplanes in the snow, weather like rain.",aeroplane,snow,rainy,Two
234,"Three aeroplanes in the snow, weather like rain.",aeroplane,snow,rainy,Three
235,"Aeroplane in the snow, weather like rain.",aeroplane,snow,rainy,Multiple
236,"A single aeroplane in the snow, weather stormy.",aeroplane,snow,stormy,Single
237,"Two aeroplanes in the snow, stormy weather.",aeroplane,snow,stormy,Two
238,"Three aeroplanes in the snow, stormy weather.",aeroplane,snow,stormy,Three
239,"Aeroplanes in the snow, stormy weather.",aeroplane,snow,stormy,Multiple
240,A single aeroplane in the snowy landscape.,aeroplane,snow,snowy,Single
241,Two aeroplanes in the snowy landscape.,aeroplane,snow,snowy,Two
242,Three aeroplanes in the snowy landscape.,aeroplane,snow,snowy,Three
243,"Aeroplane in the snowy weather, partially buried. Two aeroplanes in the snowy field, wings covered in frost. Aeroplane on the runway, surrounded by snow. Aeroplane in the snow",aeroplane,snow,snowy,Multiple
244,"A single aeroplane in the snow, shrouded by fog.",aeroplane,snow,foggy,Single
245,"Two aeroplanes in the snow, shrouded in fog.",aeroplane,snow,foggy,Two
246,"Three aeroplanes in the snow, shrouded in fog.",aeroplane,snow,foggy,Three
247,"Aeroplane in the snow, weather like fog.",aeroplane,snow,foggy,Multiple
248,"A single aeroplane in the snow, weather windy.",aeroplane,snow,windy,Single
249,"Two aeroplanes in the snow, weather windy.",aeroplane,snow,windy,Two
250,"Three aeroplanes in the snow, weather windy.",aeroplane,snow,windy,Three
251,"Aeroplane in the snow, weather windy.",aeroplane,snow,windy,Multiple
252,"A single aeroplane in the snow, with clear weather.",aeroplane,snow,clear,Single
253,"Two aeroplanes in the snow, clear weather.",aeroplane,snow,clear,Two
254,"Three aeroplanes in the snow, clear weather.",aeroplane,snow,clear,Three
255,"

Aeroplane in the snow, clear weather. A single aeroplane stands still in the pristine snow, its metallic surface glistening under the clear, sunny sky.",aeroplane,snow,clear,Multiple
256,A single aeroplane in the dense jungle with sunny weather.,aeroplane,jungle,sunny,Single
257,"Two aeroplanes in the dense jungle, sunny weather.",aeroplane,jungle,sunny,Two
258,"Three aeroplanes in the dense jungle, sunny weather.",aeroplane,jungle,sunny,Three
259,"

Aeroplanes in the dense jungle under a sunny sky.",aeroplane,jungle,sunny,Multiple
260,"

A single aeroplane in the dense jungle with cloudy weather.",aeroplane,jungle,cloudy,Single
261,"Two aeroplanes in the jungle, shrouded in cloudy weather.",aeroplane,jungle,cloudy,Two
262,"Three aeroplanes in the dense jungle, shrouded in cloudy weather.",aeroplane,jungle,cloudy,Three
263,"

Aeroplanes in the dense jungle, shrouded in cloudy weather.",aeroplane,jungle,cloudy,Multiple
264,"A single-engine aeroplane, submerged in the lush greenery of the jungle, rainwater streaming down its wings.",aeroplane,jungle,rainy,Single
265,"Two aeroplanes in the dense jungle, weathered by the constant rain.",aeroplane,jungle,rainy,Two
266,"Three aeroplanes in the dense jungle, weathered by the relentless rain.",aeroplane,jungle,rainy,Three
267,"

Aeroplanes in the dense jungle during a heavy rainfall.",aeroplane,jungle,rainy,Multiple
268,A single aeroplane in the dense jungle during a storm.,aeroplane,jungle,stormy,Single
269,Two aeroplanes in the dense jungle during a stormy weather.,aeroplane,jungle,stormy,Two
270,Three aeroplanes in the dense jungle amidst stormy weather.,aeroplane,jungle,stormy,Three
271,"

Aeroplanes interspersed amidst the jungle foliage during a stormy weather.",aeroplane,jungle,stormy,Multiple
272,"A single aeroplane in the dense jungle, surrounded by towering trees, with a snowy weather covering the landscape.",aeroplane,jungle,snowy,Single
273,"Two aeroplanes in the jungle, shrouded in snowy weather.",aeroplane,jungle,snowy,Two
274,"Three aeroplanes in the dense jungle, their metallic bodies contrasting against the lush greenery. Snowflakes gently fell from the sky, blanketing the forest floor and clinging to the planes' wings.",aeroplane,jungle,snowy,Three
275,"

Aeroplanes in the dense jungle, shrouded in snowy weather.",aeroplane,jungle,snowy,Multiple
276,"A single aeroplane in the dense jungle, surrounded by towering trees, with foggy weather obscuring the view.",aeroplane,jungle,foggy,Single
277,"Two aeroplanes in the dense jungle, shrouded in fog.",aeroplane,jungle,foggy,Two
278,"Three aeroplanes in the dense jungle, shrouded in fog.",aeroplane,jungle,foggy,Three
279,"

Aeroplanes lost in the dense jungle, shrouded by foggy weather.",aeroplane,jungle,foggy,Multiple
280,A single aeroplane in the dense jungle with windy weather.,aeroplane,jungle,windy,Single
281,"Two aeroplanes in the dense jungle, weathered by wind.",aeroplane,jungle,windy,Two
282,"Three aeroplanes in the dense jungle, weathered by wind.",aeroplane,jungle,windy,Three
283,"

Aeroplanes interspersed among dense jungle foliage, weather windy.",aeroplane,jungle,windy,Multiple
284,A single aeroplane in the dense jungle with clear weather.,aeroplane,jungle,clear,Single
285,Two aeroplanes in the dense jungle with clear weather.,aeroplane,jungle,clear,Two
286,"Three aeroplanes in the dense jungle, their metallic bodies glinting through the clear foliage.",aeroplane,jungle,clear,Three
287,"

Aeroplanes in the dense jungle with clear weather.",aeroplane,jungle,clear,Multiple
288,A single aeroplane on the coast in sunny weather.,aeroplane,coast,sunny,Single
289,Two aeroplanes on the coast in sunny weather.,aeroplane,coast,sunny,Two
290,"Three aeroplanes on the coastline, sunny weather.",aeroplane,coast,sunny,Three
291,"

Aeroplanes lined up on the sandy coast, sun casting long shadows over their metallic bodies. Clear blue sky above, a gentle breeze rustling the palm fronds. Two aeroplanes parked neatly, the",aeroplane,coast,sunny,Multiple
292,A single aeroplane on the coast in cloudy weather.,aeroplane,coast,cloudy,Single
293,Two aeroplanes on the coast in cloudy weather.,aeroplane,coast,cloudy,Two
294,Three aeroplanes on the coastline amidst cloudy weather.,aeroplane,coast,cloudy,Three
295,"

Aeroplanes lined up on the rocky coast, weathered by the salty sea breeze. Cloudy sky above, obscuring the sun.",aeroplane,coast,cloudy,Multiple
296,A single aeroplane on the rainy coast.,aeroplane,coast,rainy,Single
297,Two aeroplanes on the rainy coast.,aeroplane,coast,rainy,Two
298,Three aeroplanes on the rain-soaked coast.,aeroplane,coast,rainy,Three
299,"

Aeroplanes lined up on a rain-soaked coast.",aeroplane,coast,rainy,Multiple
300,A single aeroplane on the rocky coastline during a storm.,aeroplane,coast,stormy,Single
301,Two aeroplanes on the coast in a stormy weather.,aeroplane,coast,stormy,Two
302,Three aeroplanes on the rocky coast amidst stormy weather.,aeroplane,coast,stormy,Three
303,"

Aeroplanes lined up on the rocky coast in a stormy weather.",aeroplane,coast,stormy,Multiple
304,A single aeroplane on a snowy coast.,aeroplane,coast,snowy,Single
305,Two aeroplanes on a snowy coast.,aeroplane,coast,snowy,Two
306,Three aeroplanes on a snowy coast.,aeroplane,coast,snowy,Three
307,"

Aeroplanes lined up on a snowy coast.",aeroplane,coast,snowy,Multiple
308,A single aeroplane on the coast in foggy weather.,aeroplane,coast,foggy,Single
309,Two aeroplanes on the coast in foggy weather.,aeroplane,coast,foggy,Two
310,Three aeroplanes on the foggy coast.,aeroplane,coast,foggy,Three
311,"

Aeroplanes lined up on the foggy coast.",aeroplane,coast,foggy,Multiple
312,A single aeroplane on the rocky coastline during a windy day.,aeroplane,coast,windy,Single
313,Two aeroplanes on the coast in windy weather.,aeroplane,coast,windy,Two
314,"Three aeroplanes on the rocky coastline, weathered by wind.",aeroplane,coast,windy,Three
315,"

Aeroplanes lined up on the rocky coast, weathered by the wind. Two aeroplanes on the sand, one hovering above, wings tilted against the gusts. Aeroplanes sil",aeroplane,coast,windy,Multiple
316,A single aeroplane on the coast with clear weather.,aeroplane,coast,clear,Single
317,Two aeroplanes on the coast with clear weather.,aeroplane,coast,clear,Two
318,Three aeroplanes on the coast with clear weather.,aeroplane,coast,clear,Three
319,"

Clear coastline with five aeroplanes parked.",aeroplane,coast,clear,Multiple
320,A single aeroplane in the savanna under a sunny sky.,aeroplane,savanna,sunny,Single
321,Two aeroplanes in the savanna under a sunny sky.,aeroplane,savanna,sunny,Two
322,Three aeroplanes in the savanna under a sunny sky.,aeroplane,savanna,sunny,Three
323,"Savanna with multiple aeroplanes, sunny weather.",aeroplane,savanna,sunny,Multiple
324,A single aeroplane in the savanna with cloudy weather.,aeroplane,savanna,cloudy,Single
325,Two aeroplanes in the savanna with cloudy weather.,aeroplane,savanna,cloudy,Two
326,Three aeroplanes in the savanna with cloudy weather.,aeroplane,savanna,cloudy,Three
